Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,583/432,25/32,385/282,112/67,46/43,15/8
2024,7/11,0/2,4/5,0/2,-,3/2
2023,24/18,10/3,14/14,0/1,-,-
2022,17/8,-,11/7,0/1,-,6/0
2021,10/23,1/3,6/12,2/6,1/2,-
2020,2/6,0/2,2/3,0/1,-,-
2019,42/30,0/1,38/23,2/2,2/4,-
2018,34/28,0/1,22/20,10/4,2/3,-
2017,41/30,0/1,22/19,14/7,5/3,-
2016,28/24,0/1,17/15,9/6,2/2,-
2015,37/32,0/2,18/17,11/7,8/5,0/1
2014,49/29,0/1,31/19,12/5,6/3,0/1
2013,37/33,4/4,23/21,5/4,2/4,3/0
2012,43/28,2/4,26/14,12/4,3/5,0/1
2011,40/25,1/3,26/16,8/2,4/3,1/1
2010,36/27,-,25/21,8/2,1/2,2/2
2009,48/28,2/1,28/19,8/3,10/5,-
2008,39/25,2/1,35/21,2/2,0/1,-
2007,36/18,3/2,30/12,3/3,0/1,-
2006,13/8,-,7/4,6/4,-,-
2005,0/1,-,-,0/1,-,-
