Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/17,13/12,-,-,-,6/5
2024,5/9,4/6,-,-,-,1/3
2023,10/6,9/6,-,-,-,1/0
2022,3/2,-,-,-,-,3/2
2021,1/0,-,-,-,-,1/0
