Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,224/138,20/23,173/90,12/10,19/15,-
2024,23/28,1/6,16/16,1/1,5/5,-
2023,47/35,0/3,38/24,0/2,9/6,-
2022,53/29,2/2,37/19,10/6,4/2,-
2021,41/13,9/3,31/9,1/1,-,-
2020,33/10,-,33/10,-,-,-
2019,22/18,7/7,14/9,-,1/2,-
2018,3/4,1/2,2/2,-,-,-
2016,2/1,-,2/1,-,-,-
