Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,357/273,29/31,204/142,74/44,45/49,5/7
2024,25/24,3/7,11/9,5/3,6/5,-
2023,42/33,1/3,27/20,5/3,8/5,1/2
2022,29/29,0/4,17/15,2/3,7/5,3/2
2021,27/23,8/4,17/12,1/3,1/4,-
2020,20/13,2/3,5/4,12/3,-,1/3
2019,27/18,3/2,14/10,7/2,3/4,-
2018,42/21,1/1,19/12,14/3,8/5,-
2017,26/25,1/1,21/17,0/1,4/6,-
2016,27/23,2/3,19/13,4/4,2/3,-
2015,27/25,4/2,17/12,3/3,3/8,-
2014,42/21,-,32/14,9/5,1/2,-
2013,7/7,-,5/3,1/3,1/1,-
2012,15/7,4/1,-,10/5,1/1,-
2011,1/4,-,0/1,1/3,-,-
