Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
17.09. 09:35,Podoroska N.,2,6,6,,,,1,3,62%,73% (24/33),50% (10/20),100% (5/5),50% (14/28),85% (17/20),67% (6/9),7,64% (34/53),65% (31/48),64% (65/101),10,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.07
17.09. 09:35,Laskutova K.,0,1,0,,,,1,4,58%,50% (14/28),15% (3/20),33% (3/9),27% (9/33),50% (10/20),0% (0/5),3,35% (17/48),36% (19/53),36% (36/101),1,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],8.98
WTA - SINGLES :  Monastir (Tunisia),hard,header
10.09. 20:35,Podoroska N.,1,6,2,4,,,3,6,65%,63% (32/51),36% (10/28),57% (8/14),43% (23/54),59% (10/17),86% (6/7),8,53% (42/79),46% (33/71),50% (75/150),5,50% (6/12),46% (6/13),48% (12/25),"['1', '0', '2', '1', '4', '1', '6', '1']",[],"['1', '1', '2', '4']",[],[],1.91
10.09. 20:35,Ruzic A.,2,1,6,6,,,0,3,76%,57% (31/54),41% (7/17),14% (1/7),37% (19/51),64% (18/28),43% (6/14),6,54% (38/71),47% (37/79),50% (75/150),3,54% (7/13),50% (6/12),52% (13/25),"['1', '1']","['1', '0', '4', '1']","['1', '0', '2', '1', '4', '1']",[],[],1.91
WTA - SINGLES :  US Open (USA),hard,header
28.08. 02:25,Podoroska N.,0,0,1,,,,2,1,62%,48% (10/21),23% (3/13),0% (0/5),24% (7/29),31% (5/16),0% (0/4),6,15,50% (2/4),4,38% (13/34),27% (12/45),32% (25/79),1,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],5.85
28.08. 02:25,Shnaider D.,2,6,6,,,,0,1,64%,76% (22/29),69% (11/16),100% (4/4),52% (11/21),77% (10/13),100% (5/5),18,14,88% (7/8),8,73% (33/45),62% (21/34),68% (54/79),7,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],[],1.14
WTA - SINGLES :  Monterrey (Mexico),hard,header
21.08. 07:35,Podoroska N.,1,4,6,4,,,2,8,67%,63% (45/72),43% (15/35),69% (11/16),31% (17/55),41% (12/29),50% (4/8),6,56% (60/107),35% (29/84),47% (89/191),4,67% (10/15),27% (4/15),47% (14/30),[],"['3', '3', '6', '4']","['1', '1', '3', '1']",[],[],2.86
