Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,404/246,254/134,127/91,4/4,8/11,11/6
2024,26/28,11/12,15/12,0/2,0/2,-
2023,39/33,24/14,13/13,-,2/4,0/2
2022,24/16,14/7,7/6,-,3/2,0/1
2021,17/17,4/3,10/12,-,3/2,-
2020,45/10,22/4,18/3,2/1,-,3/2
2019,40/25,20/16,20/9,-,-,-
2018,21/16,16/7,5/9,-,-,-
2017,16/13,8/8,4/4,-,0/1,4/0
2016,49/25,28/14,15/9,2/1,-,4/1
2015,50/19,34/12,16/7,-,-,-
2014,39/15,36/9,3/6,-,-,-
2013,15/11,14/10,1/1,-,-,-
2012,18/13,18/13,-,-,-,-
2011,5/5,5/5,-,-,-,-
