Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,109/99,106/91,3/8,-,-,-
2024,9/13,9/13,-,-,-,-
2023,53/30,53/30,-,-,-,-
2022,28/19,26/18,2/1,-,-,-
2021,14/28,13/23,1/5,-,-,-
2020,3/7,3/5,0/2,-,-,-
2019,2/1,2/1,-,-,-,-
2018,0/1,0/1,-,-,-,-
