Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.07.,Jianu F. C.,0,,,,,,1,0,57%,88% (7/8),83% (5/6),0% (0/0),56% (10/18),54% (7/13),33% (2/6),86% (12/14),55% (17/31),64% (29/45),6,0,100% (3/3),67% (2/3),83% (5/6),"['1', '0', '4', '1']",[],[],[],[],2.08
06.07.,Choinski J.,2,,,,,,3,1,65%,67% (43/64),66% (23/35),50% (1/2),33% (17/51),46% (26/57),33% (4/12),67% (66/99),40% (43/108),53% (109/207),8,0,93% (14/15),27% (4/15),60% (18/30),"['2', '1']","['3', '2']","['4', '2', '6', '2']",[],[],1.74
06.07.,Hemery C.,1,,,,,,2,4,47%,67% (34/51),54% (31/57),67% (8/12),33% (21/64),34% (12/35),50% (1/2),60% (65/108),33% (33/99),47% (98/207),2,0,73% (11/15),7% (1/15),40% (12/30),[],"['4', '4']",[],[],[],2.00
05.07.,Hemery C.,2,,,,,,3,7,56%,71% (27/38),53% (16/30),33% (1/3),41% (16/39),50% (22/44),27% (4/15),63% (43/68),46% (38/83),54% (81/151),6,0,82% (9/11),36% (4/11),59% (13/22),"['2', '2', '4', '2', '7', '5']","['6', '4']",[],[],[],1.66
05.07.,Berrettini J.,0,,,,,,6,4,47%,59% (23/39),50% (22/44),73% (11/15),29% (11/38),47% (14/30),67% (2/3),54% (45/83),37% (25/68),46% (70/151),4,2,64% (7/11),18% (2/11),41% (9/22),"['1', '0', '4', '5']",[],[],[],[],2.14
04.07.,Hemery C.,2,,,,,,6,6,65%,73% (35/48),50% (13/26),100% (9/9),33% (10/30),53% (20/38),38% (3/8),65% (48/74),44% (30/68),55% (78/142),7,0,100% (9/9),33% (3/9),67% (12/18),"['3', '1']","['3', '2', '6', '3']",[],[],[],1.74
04.07.,Barranco Cosano J.,0,,,,,,0,6,44%,67% (20/30),47% (18/38),63% (5/8),27% (13/48),50% (13/26),0% (0/9),56% (38/68),35% (26/74),45% (64/142),3,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.00
03.07.,Hemery C.,2,,,,,,3,10,53%,76% (35/46),43% (17/40),75% (9/12),27% (10/37),52% (17/33),38% (3/8),60% (52/86),39% (27/70),51% (79/156),7,0,75% (9/12),27% (3/11),52% (12/23),"['4', '2', '6', '2']",[],"['2', '0']",[],[],1.86
03.07.,Brunold M.,1,,,,,,1,5,53%,73% (27/37),48% (16/33),63% (5/8),24% (11/46),57% (23/40),25% (3/12),61% (43/70),40% (34/86),49% (77/156),3,2,73% (8/11),25% (3/12),48% (11/23),[],"['1', '0', '3', '0', '5', '0']",[],[],[],1.86
01.07.,Hemery C.,2,,,,,,7,3,64%,78% (38/49),64% (18/28),100% (2/2),22% (8/37),48% (20/42),20% (1/5),73% (56/77),35% (28/79),54% (84/156),6,0,100% (11/11),9% (1/11),55% (12/22),[],"['3', '2']",[],[],[],1.46
01.07.,Ivanovski K.,0,,,,,,2,5,47%,78% (29/37),52% (22/42),80% (4/5),22% (11/49),36% (10/28),0% (0/2),65% (51/79),27% (21/77),46% (72/156),4,2,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],2.59
