Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,806/625,397/285,167/150,193/148,27/30,22/12
2024,5/8,2/7,-,-,-,3/1
2023,25/25,15/14,4/7,1/3,-,5/1
2022,52/34,24/20,14/7,11/5,3/2,-
2021,17/27,7/14,0/2,9/8,1/3,-
2020,19/15,12/10,4/4,2/1,-,1/0
2019,43/39,15/13,8/11,13/11,7/3,0/1
2018,55/25,39/17,4/4,10/4,-,2/0
2017,32/27,13/11,7/8,6/4,5/3,1/1
2016,35/37,15/11,13/15,4/7,1/3,2/1
2015,32/33,12/9,9/12,8/6,2/4,1/2
2014,43/37,26/13,13/9,1/10,1/2,2/3
2013,43/40,15/12,10/14,15/10,1/2,2/2
2012,42/33,16/13,7/8,11/9,6/3,2/0
2011,49/35,29/14,13/12,6/8,0/1,1/0
2010,39/29,25/14,3/2,11/12,0/1,-
2009,44/37,18/20,2/1,24/15,0/1,-
2008,44/34,32/18,8/6,4/9,0/1,-
2007,49/29,15/9,17/11,17/8,0/1,-
2006,68/30,32/17,8/4,28/9,-,-
2005,39/21,23/13,5/3,11/5,-,-
2004,20/14,6/6,13/6,1/2,-,-
2003,10/13,5/8,5/4,0/1,-,-
2002,1/3,1/2,-,0/1,-,-
