Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,471/393,315/242,146/118,10/32,0/1,-
2024,3/5,3/5,-,-,-,-
2023,26/32,22/20,3/6,1/6,-,-
2022,41/32,30/23,8/5,3/4,-,-
2021,23/24,11/8,10/12,2/4,-,-
2020,5/4,5/3,-,0/1,-,-
2019,29/25,29/24,0/1,-,-,-
2018,43/38,18/25,25/11,0/2,-,-
2017,52/23,47/18,4/3,1/2,-,-
2016,51/28,41/18,10/6,0/4,-,-
2015,27/24,19/15,8/8,0/1,-,-
2014,17/19,13/11,4/7,0/1,-,-
2013,9/31,3/18,6/10,0/2,0/1,-
2012,32/31,15/12,15/15,2/4,-,-
2011,58/23,25/8,32/14,1/1,-,-
2010,22/16,6/4,16/12,-,-,-
2009,25/25,22/20,3/5,-,-,-
2008,7/10,6/8,1/2,-,-,-
2007,1/3,0/2,1/1,-,-,-
