Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.06.,Cerny M.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],[],1.34
12.06.,Kalina V.,0,,,,,,[],[],[],[],[],3.04
11.06.,Kalina V.,2,,,,,,"['1', '1', '3', '1', '6', '4']","['1', '3', '2', '4', '3', '5']","['1', '0', '3', '0', '4', '3', '5', '4']",[],[],1.89
11.06.,Vrba J.,1,,,,,,"['1', '0', '2', '3']","['1', '0', '3', '0', '4', '1', '5', '2', '6', '3']","['1', '3', '3', '3', '4', '4']",[],[],1.81
06.12.2024,Tiurnev E.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['3', '2', '5', '2']",[],[],[],-
06.12.2024,Kalina V.,0,,,,,,"['1', '0']",[],[],[],[],-
06.12.2024,Kalina V.,2,,,,,,"['2', '1', '5', '2', '6', '3']","['3', '3', '5', '3']",[],[],[],6.60
06.12.2024,Slump S.,0,,,,,,"['3', '5']","['2', '1']",[],[],[],1.08
05.12.2024,Kalina V.,2,,,,,,"['1', '0', '5', '2']",[],"['4', '4', '5', '5', '7', '5']",[],[],-
05.12.2024,Salazar D.,1,,,,,,[],"['3', '1', '5', '1']","['1', '0', '5', '4']",[],[],-
20.11.2024,Steiner M.,2,,,,,,"['2', '0', '4', '4', '6', '4']","['2', '0', '3', '1']","['1', '0', '2', '1']",[],[],1.33
20.11.2024,Kalina V.,1,,,,,,"['2', '3', '4', '3']","['1', '2', '2', '3', '4', '3', '6', '3']","['1', '1']",[],[],3.09
23.10.2024,Tsitsipas Pa.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '4', '5']",[],[],[],2.75
23.10.2024,Kalina V.,0,,,,,,"['2', '5']","['2', '2', '4', '2']",[],[],[],1.41
15.10.2024,Bodmer A.,2,,,,,,"['1', '0', '3', '4', '4', '5']","['2', '0', '4', '2', '6', '2']",[],[],[],1.28
15.10.2024,Kalina V.,0,,,,,,"['1', '1', '3', '1', '5', '3']","['2', '3']",[],[],[],3.40
09.10.2024,Azoidis D.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '5', '2', '6', '3']",[],[],[],1.63
09.10.2024,Kalina V.,0,,,,,,"['1', '4']","['3', '5']",[],[],[],2.16
23.08.2024,Prihodko O.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '3', '2', '5', '2']",[],[],[],1.05
23.08.2024,Kalina V.,0,,,,,,[],"['2', '2']",[],[],[],8.15
22.08.2024,Kalina V.,2,,,,,,"['3', '2', '6', '3']","['4', '4', '6', '4']",[],[],[],3.77
22.08.2024,Maamoun K.M.,0,,,,,,[],"['3', '2']",[],[],[],1.24
20.08.2024,Kalina V.,2,,,,,,"['4', '2', '6', '2']",[],"['4', '2', '6', '2']",[],[],1.90
20.08.2024,Gundacker J.,1,,,,,,[],"['1', '0', '5', '2']",[],[],[],1.82
25.07.2024,Broska F.,2,,,,,,"['2', '2', '5', '3']","['4', '3']",[],[],[],1.20
25.07.2024,Kalina V.,0,,,,,,"['2', '1']",[],[],[],[],4.22
24.07.2024,Kalina V.,2,,,,,,"['1', '0', '3', '4', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.11
24.07.2024,Gampert S.,0,,,,,,"['1', '1', '4', '2']",[],[],[],[],5.94
18.01.2024,Welte M.,2,,,,,,"['3', '2', '5', '2']","['2', '1']",[],[],[],1.43
18.01.2024,Kalina V.,0,,,,,,[],[],[],[],[],2.68
16.01.2024,Kalina V.,2,,,,,,"['2', '0', '4', '0']",[],"['1', '0']",[],[],3.08
16.01.2024,Opitz J.,1,,,,,,[],"['7', '5']",[],[],[],1.34
29.11.2023,Chrysochos P.,2,,,,,,[],[],[],[],[],1.15
29.11.2023,Kalina V.,0,,,,,,[],[],[],[],[],4.89
22.08.2023,Wiskandt M.,2,,,,,,"['3', '2', '6', '5']","['3', '2', '6', '3']",[],[],[],1.41
22.08.2023,Kalina V.,0,,,,,,"['4', '4']",[],[],[],[],2.74
01.08.2023,Vrba J.,2,,,,,,"['5', '3']","['2', '0', '4', '0', '6', '0']","['2', '0', '6', '2']",[],[],-
01.08.2023,Kalina V.,1,,,,,,"['4', '5', '6', '5']",[],[],[],[],-
31.07.2023,Kalina V.,2,,,,,,"['2', '3', '5', '4']",[],"['5', '3']",[],[],-
31.07.2023,Volesky J.,1,,,,,,"['2', '0']","['3', '1']",[],[],[],-
02.06.2023,Schoen P.,2,,,,,,"['1', '0', '4', '3']","['1', '1', '4', '2', '6', '2']",[],[],[],-
02.06.2023,Kalina V.,0,,,,,,"['3', '3', '5', '5']","['1', '0']",[],[],[],-
01.06.2023,Kalina V.,2,,,,,,"['5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],-
01.06.2023,Chan D.,0,,,,,,[],[],[],[],[],-
