Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,283/187,48/31,191/116,38/32,6/8,-
2024,1/2,-,1/2,-,-,-
2023,0/1,-,0/1,-,-,-
2021,6/8,-,6/7,0/1,-,-
2020,34/14,-,32/10,2/4,-,-
2019,31/29,1/2,27/21,3/6,-,-
2018,20/28,0/1,17/19,0/3,3/5,-
2017,47/21,10/2,27/15,10/4,-,-
2016,3/2,-,-,3/2,-,-
2015,39/20,4/4,28/10,7/6,-,-
2014,32/25,4/7,20/11,5/4,3/3,-
2013,43/21,18/10,17/9,8/2,-,-
2012,14/5,7/2,7/3,-,-,-
2011,0/1,-,0/1,-,-,-
2009,4/3,2/2,2/1,-,-,-
2008,5/4,2/1,3/3,-,-,-
2007,4/3,-,4/3,-,-,-
