Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,384/275,143/91,113/87,89/64,32/29,7/4
2024,33/15,8/5,14/4,6/6,5/0,-
2023,20/11,7/5,3/2,8/3,2/1,-
2022,7/15,3/6,0/3,4/4,0/2,-
2021,18/24,2/7,7/3,7/10,2/4,-
2020,0/3,-,0/3,-,-,-
2019,27/26,7/5,12/14,2/3,6/4,-
2018,26/23,3/5,8/8,8/5,4/4,3/1
2017,36/22,10/4,9/10,9/4,6/2,2/2
2016,42/26,13/6,17/11,6/4,4/4,2/1
2015,36/32,15/8,7/11,14/7,0/6,-
2014,40/25,23/13,7/6,10/5,0/1,-
2013,42/26,15/8,12/8,12/9,3/1,-
2012,43/14,27/12,14/1,2/1,-,-
2011,7/6,4/3,3/3,-,-,-
2010,6/5,6/4,-,0/1,-,-
2009,1/2,-,-,1/2,-,-
