Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Bertrand R.,2,,,,,,0,6,55%,48% (20/42),43% (15/35),53% (8/15),43% (24/56),69% (27/39),57% (8/14),13,55,60% (6/10),45% (35/77),54% (51/95),50% (86/172),8,0,46% (6/13),62% (8/13),54% (14/26),"['1', '1']","['1', '1', '3', '1', '4', '4', '6', '4']","['2', '0', '3', '1', '6', '2']",[],[],1.69
20.08.,Moroni F.,1,,,,,,1,7,59%,57% (32/56),31% (12/39),43% (6/14),52% (22/42),57% (20/35),47% (7/15),13,62,50% (3/6),46% (44/95),55% (42/77),50% (86/172),2,0,38% (5/13),54% (7/13),46% (12/26),"['1', '0', '2', '1', '4', '1']","['1', '0', '2', '3', '4', '3']","['1', '2']",[],[],2.07
19.08.,Moroni F.,2,,,,,,3,2,54%,75% (21/28),50% (12/24),0% (0/3),46% (12/26),55% (16/29),100% (5/5),11,23,60% (3/5),63% (33/52),51% (28/55),57% (61/107),8,0,70% (7/10),50% (5/10),60% (12/20),"['1', '2', '3', '2', '5', '4']","['2', '1', '5', '4']",[],[],[],19.5
19.08.,Andaloro F.,0,,,,,,0,6,47%,54% (14/26),45% (13/29),0% (0/5),25% (7/28),50% (12/24),100% (3/3),9,37,40% (2/5),49% (27/55),37% (19/52),43% (46/107),2,0,50% (5/10),30% (3/10),40% (8/20),"['2', '0', '4', '4']","['3', '3']",[],[],[],1.62
18.08.,Moroni F.,2,,,,,,4,6,63%,58% (28/48),50% (14/28),45% (5/11),48% (23/48),69% (22/32),64% (9/14),12,39,36% (4/11),55% (42/76),56% (45/80),56% (87/156),6,0,54% (7/13),64% (9/14),59% (16/27),"['1', '0', '3', '4']","['1', '2', '2', '3', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '2']",[],[],20.0
18.08.,Vales A.,1,,,,,,2,8,60%,52% (25/48),31% (10/32),36% (5/14),42% (20/48),50% (14/28),55% (6/11),14,59,38% (3/8),44% (35/80),45% (34/76),44% (69/156),4,0,36% (5/14),46% (6/13),41% (11/27),"['1', '1', '4', '2', '6', '4']","['2', '0', '3', '1']","['2', '5']",[],[],1.71
17.08.,Moroni F.,2,,,,,,2,2,58%,80% (20/25),50% (9/18),50% (2/4),77% (17/22),58% (14/24),100% (6/6),17,16,67% (10/15),67% (29/43),67% (31/46),67% (60/89),8,0,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '2', '5', '3']",[],[],[],16.0
17.08.,Holban V.,0,,,,,,0,5,48%,23% (5/22),42% (10/24),0% (0/6),20% (5/25),50% (9/18),50% (2/4),6,28,50% (2/4),33% (15/46),33% (14/43),33% (29/89),2,0,25% (2/8),25% (2/8),25% (4/16),[],"['2', '3', '3', '4']",[],[],[],1.57
13.08.,Brunclik P.,2,,,,,,3,5,63%,69% (29/42),48% (12/25),75% (6/8),46% (19/41),48% (10/21),50% (4/8),16,29,86% (6/7),62% (41/66),47% (29/62),55% (70/128),5,0,80% (8/10),44% (4/9),63% (12/19),"['2', '2', '6', '4']","['2', '0', '3', '1']",[],[],[],20.5
13.08.,Moroni F.,0,,,,,,3,2,66%,54% (22/41),52% (11/21),50% (4/8),29% (12/42),52% (13/25),25% (2/8),19,34,70% (7/10),53% (33/62),38% (25/66),45% (58/128),5,1,56% (5/9),20% (2/10),37% (7/19),"['1', '0']","['1', '2']",[],[],[],1.65
12.08.,Moroni F.,2,,,,,,2,4,62%,67% (26/39),17% (4/24),44% (4/9),67% (28/42),50% (8/16),67% (8/12),26,38,77% (23/30),48% (30/63),62% (36/58),55% (66/121),7,0,50% (5/10),80% (8/10),65% (13/20),"['1', '1', '4', '4', '5', '5', '7', '5']","['1', '1', '2', '2', '4', '2', '6', '2']",[],[],[],-
12.08.,Kimhi O.,0,,,,,,0,0,72%,33% (14/42),50% (8/16),33% (4/12),33% (13/39),83% (20/24),56% (5/9),7,24,67% (4/6),38% (22/58),52% (33/63),45% (55/121),3,0,20% (2/10),50% (5/10),35% (7/20),"['1', '0', '3', '2', '5', '4']","['1', '0', '2', '1']",[],[],[],-
11.08.,Moroni F.,1,,,,,,1,2,59%,60% (27/45),32% (10/31),44% (4/9),40% (23/57),61% (11/18),33% (3/9),40,42,65% (17/26),49% (37/76),45% (34/75),47% (71/151),2,0,38% (3/8),38% (3/8),38% (6/16),"['1', '1', '3', '3', '5', '3']",[],[],[],[],18.5
11.08.,Kimhi O.,0,,,,,,0,4,76%,60% (34/57),39% (7/18),67% (6/9),40% (18/45),68% (21/31),56% (5/9),18,24,77% (10/13),55% (41/75),51% (39/76),53% (80/151),8,0,63% (5/8),63% (5/8),63% (10/16),"['1', '0', '3', '2', '4', '5']","['2', '0', '4', '0']",[],[],[],1.50
10.08.,Moroni F.,1,,,,,,4,1,66%,69% (24/35),56% (10/18),67% (4/6),52% (13/25),53% (17/32),44% (4/9),16,24,60% (6/10),64% (34/53),53% (29/55),58% (63/108),9,0,78% (7/9),44% (4/9),61% (11/18),[],"['1', '1', '3', '1', '5', '1']","['1', '0']",[],[],-
10.08.,Nedelko I.,1,,,,,,0,4,44%,52% (13/25),47% (15/32),56% (5/9),31% (11/35),44% (8/18),33% (2/6),9,33,60% (3/5),47% (26/55),36% (19/53),42% (45/108),1,0,56% (5/9),22% (2/9),39% (7/18),"['2', '0']","['1', '0']",[],[],[],-
25.07.,Lokoli L.,2,,,,,,"['2', '4']","['2', '0', '6', '2']","['2', '0', '4', '0']",[],[],1.61
25.07.,Moroni F.,1,,,,,,"['2', '1', '4', '1']",[],[],[],[],2.20
24.07.,Moroni F.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '4', '4', '6', '4']",[],[],[],-
24.07.,Moro Canas A.,0,,,,,,[],"['2', '3', '4', '3']",[],[],[],-
22.07.,Moroni F.,2,,,,,,"['2', '0', '6', '2']","['4', '2']",[],[],[],-
22.07.,Parker S.,0,,,,,,[],[],[],[],[],-
17.07.,Marrero Curbelo I.,2,,,,,,"['1', '1', '4', '4', '5', '5', '6', '6']","['1', '2', '2', '3', '6', '5']","['1', '0', '4', '3']",[],[],3.32
17.07.,Moroni F.,1,,,,,,"['1', '0', '2', '1', '5', '4', '6', '5']","['2', '0', '3', '1']","['1', '1', '4', '4']",[],[],1.29
16.07.,Moroni F.,2,,,,,,"['4', '3']","['2', '0', '5', '1']","['1', '0', '4', '1']",[],[],-
16.07.,Pow L.,1,,,,,,"['4', '4']",[],[],[],[],-
27.06.,Martinez Gomez P.,2,,,,,,"['2', '0', '6', '2']","['7', '5']",[],[],[],-
27.06.,Moroni F.,0,,,,,,[],[],[],[],[],-
24.06.,Moroni F.,2,,,,,,[],[],[],[],[],-
24.06.,Tsitsipas Pa.,0,,,,,,[],[],[],[],[],-
22.06.,Moroni F.,2,,,,,,"['4', '3', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],1.22
22.06.,Saraiva Dos Santos P. A.,0,,,,,,"['5', '5']",[],[],[],[],3.91
21.06.,Moroni F.,2,,,,,,"['3', '4', '5', '4']","['4', '3', '6', '3']",[],[],[],1.32
21.06.,Ghazouani Durand Y.,0,,,,,,"['3', '1']",[],[],[],[],3.14
20.06.,Moroni F.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '0']",[],[],[],1.57
20.06.,Gautier A.,0,,,,,,"['2', '3']","['1', '3']",[],[],[],2.28
19.06.,Moroni F.,2,,,,,,"['2', '1', '3', '4', '5', '4']","['1', '0', '3', '0', '5', '2']",[],[],[],-
19.06.,Walters M.,0,,,,,,"['2', '2', '4', '2']","['2', '4']",[],[],[],-
18.06.,Moroni F.,2,,,,,,"['5', '3']","['1', '2', '3', '2']","['1', '0', '6', '3']",[],[],-
18.06.,Fernandez Flores D.,1,,,,,,[],"['2', '0', '3', '3', '6', '4']",[],[],[],-
31.05.,Bittoun C.,1,,,,,,"['3', '3', '5', '3']","['1', '0']",[],[],[],-
31.05.,Moroni F.,0,,,,,,"['2', '1']",[],[],[],[],-
29.05.,Moroni F.,2,,,,,,"['1', '0', '5', '4']","['3', '2']",[],[],[],-
29.05.,Saritas G.,0,,,,,,"['3', '3']",[],[],[],[],-
27.05.,Moroni F.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],-
27.05.,Sengul B.,0,,,,,,"['3', '1']",[],[],[],[],-
11.05.,Perot R.,2,,,,,,"['4', '3', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],1.75
11.05.,Moroni F.,0,,,,,,"['4', '4']",[],[],[],[],1.96
10.05.,Moroni F.,2,,,,,,"['3', '2']",[],"['1', '1', '4', '2', '6', '2']",[],[],1.12
10.05.,Mbithi M.,1,,,,,,[],"['5', '3']","['1', '0']",[],[],5.20
09.05.,Moroni F.,2,,,,,,"['4', '3']","['2', '0', '4', '0', '6', '0']","['1', '1', '5', '3']",[],[],-
09.05.,Andre S.,1,,,,,,"['5', '5']",[],"['1', '0']",[],[],-
08.05.,Moroni F.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],-
08.05.,Buldorini P.,0,,,,,,[],[],[],[],[],-
07.05.,Moroni F.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '5', '2']",[],[],[],-
07.05.,Qabazard E.,0,,,,,,[],[],[],[],[],-
04.05.,Moroni F.,2,,,,,,"['3', '2']","['1', '0', '4', '1', '6', '1']","['4', '2']",[],[],1.62
04.05.,Vandermeersch C.,1,,,,,,"['3', '3', '6', '4']",[],[],[],[],2.18
03.05.,Moroni F.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '2', '3', '2', '4', '3', '6', '3']",[],[],[],1.44
03.05.,Mazdrashki A.,0,,,,,,"['1', '3', '3', '5']","['2', '0', '3', '3']",[],[],[],2.62
02.05.,Moroni F.,2,,,,,,"['2', '1', '4', '1']","['3', '2', '5', '2']",[],[],[],1.31
02.05.,Sakellaridis D.,0,,,,,,"['2', '4']",[],[],[],[],3.20
01.05.,Moroni F.,2,,,,,,"['1', '0', '3', '2', '5', '4']","['1', '0', '3', '0']",[],[],[],-
01.05.,Mbithi M.,0,,,,,,"['1', '1', '3', '3']",[],[],[],[],-
30.04.,Moroni F.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],-
30.04.,Ponchet M.,0,,,,,,"['3', '3']",[],[],[],[],-
30.03.,Purtseladze S.,2,,,,,,"['3', '4']","['3', '1']","['2', '1', '6', '5']",[],[],1.37
30.03.,Moroni F.,1,,,,,,"['3', '1']",[],"['2', '2']",[],[],2.89
29.03.,Moroni F.,2,,,,,,"['1', '0', '5', '4']",[],"['5', '3', '6', '4']",[],[],2.94
29.03.,Ursu V.,1,,,,,,"['2', '2']","['5', '3']","['4', '5']",[],[],1.36
27.03.,Moroni F.,2,,,,,,"['4', '3']","['2', '1', '5', '2']",[],[],[],-
27.03.,Elsayed A.,0,,,,,,[],[],[],[],[],-
26.03.,Moroni F.,2,,,,,,[],"['2', '0', '5', '1']",[],[],[],-
26.03.,Ibrahim K.,0,,,,,,[],[],[],[],[],-
26.02.,Moroni F.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],-
26.02.,Bessonov D.,0,,,,,,[],"['1', '1']",[],[],[],-
