Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/36,35/19,17/14,2/2,-,2/1
2024,8/4,6/3,2/1,-,-,-
2023,16/8,12/3,3/4,1/1,-,-
2022,6/4,1/1,2/1,1/1,-,2/1
2021,5/4,4/3,1/1,-,-,-
2020,0/1,-,0/1,-,-,-
2019,15/10,6/6,9/4,-,-,-
2018,6/5,6/3,0/2,-,-,-
