Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,73/116,54/76,19/40,-,-,-
2024,18/23,18/22,0/1,-,-,-
2023,12/24,9/14,3/10,-,-,-
2022,22/21,17/14,5/7,-,-,-
2021,3/10,1/5,2/5,-,-,-
2020,1/1,1/1,-,-,-,-
2019,9/19,1/6,8/13,-,-,-
2018,2/4,2/4,-,-,-,-
2017,4/7,3/5,1/2,-,-,-
2016,1/5,1/3,0/2,-,-,-
2015,1/2,1/2,-,-,-,-
