Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/38,4/2,39/33,3/2,-,4/1
2024,12/5,4/1,4/3,-,-,4/1
2023,13/14,-,12/13,1/1,-,-
2022,22/17,-,20/16,2/1,-,-
2021,3/2,0/1,3/1,-,-,-
