Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,90/75,41/40,31/23,11/7,-,7/5
2024,27/20,12/10,13/8,2/2,-,-
2023,19/13,3/6,11/4,4/2,-,1/1
2022,18/8,8/3,-,4/1,-,6/4
2021,6/5,0/1,5/2,1/2,-,-
2020,0/1,-,0/1,-,-,-
2019,5/9,4/4,1/5,-,-,-
2018,3/6,3/5,0/1,-,-,-
2017,9/8,9/8,-,-,-,-
2016,3/4,2/2,1/2,-,-,-
2015,0/1,0/1,-,-,-,-
