Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,222/117,122/47,63/44,10/11,14/8,13/7
2024,1/1,-,1/1,-,-,-
2023,34/21,16/9,10/8,1/1,4/1,3/2
2022,29/18,8/4,9/10,4/1,2/3,6/0
2021,21/20,2/7,16/9,1/2,2/2,-
2020,17/12,8/5,7/6,0/1,-,2/0
2019,33/20,23/8,1/3,2/4,6/2,1/3
2018,43/11,35/6,7/3,0/1,-,1/1
2017,27/11,13/5,12/4,2/1,-,0/1
2016,16/2,16/2,-,-,-,-
2015,1/1,1/1,-,-,-,-
