Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/48,13/15,37/33,-,-,-
2024,11/18,8/11,3/7,-,-,-
2023,30/24,1/2,29/22,-,-,-
2022,9/6,4/2,5/4,-,-,-
