Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,399/296,336/223,42/41,17/26,0/1,4/5
2024,16/23,12/18,3/4,-,0/1,1/0
2023,40/28,38/24,0/1,2/2,-,0/1
2022,35/30,31/22,0/1,3/7,-,1/0
2021,37/26,30/21,1/1,6/3,-,0/1
2020,28/4,26/2,-,2/2,-,-
2019,50/20,47/16,2/2,1/1,-,0/1
2018,39/15,39/15,-,-,-,-
2017,21/24,21/21,0/3,-,-,-
2016,38/23,22/14,14/7,1/2,-,1/0
2015,27/30,18/19,9/10,-,-,0/1
2014,23/24,13/16,9/5,0/3,-,1/0
2013,20/20,17/14,3/3,0/2,-,0/1
2012,21/20,19/13,1/4,1/3,-,-
2011,4/7,3/6,-,1/1,-,-
2010,0/2,0/2,-,-,-,-
