Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,68/30,-,46/22,-,-,22/8
2024,16/6,-,11/5,-,-,5/1
2023,12/10,-,11/7,-,-,1/3
2022,19/9,-,3/5,-,-,16/4
2021,21/5,-,21/5,-,-,-
