Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,60/38,57/35,-,-,-,3/3
2024,16/16,14/13,-,-,-,2/3
2023,36/17,35/17,-,-,-,1/0
2022,8/5,8/5,-,-,-,-
