https://www.tennisexplorer.com/res/img/player/xOXu6IDm-dddlEGq1.jpeg
Zhukayev Beibit
Country: Kazakhstan
Age: 23 (12. 10. 2000)
Current/Highest rank - singles: 218. / 171.
Current/Highest rank - doubles: 790. / 327.
Sex: man
Plays: right
