Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
28.08.,Krumich M.,2,,,,,,"['3', '3', '5', '3']","['2', '1', '5', '2']",[],[],[],1.03
28.08.,Gloeckler M.,0,,,,,,"['2', '1']",[],[],[],[],9.10
27.08.,Gloeckler M.,0,,,,,,"['1', '0']",[],[],[],[],2.50
27.08.,Basic N.,0,,,,,,[],[],[],[],[],1.48
17.07.,Nedic A.,2,,,,,,"['2', '0', '6', '2']","['1', '1', '5', '3']",[],[],[],1.07
17.07.,Gloeckler M.,0,,,,,,[],"['1', '0']",[],[],[],6.80
15.07.,Gloeckler M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['4', '3', '6', '3']",[],[],[],1.90
15.07.,Gundacker J.,0,,,,,,[],[],[],[],[],1.80
26.06.,Rocha F.,2,,,,,,"['2', '0', '5', '1']","['3', '2']",[],[],[],1.14
26.06.,Gloeckler M.,0,,,,,,[],[],[],[],[],4.90
24.06.,Gloeckler M.,2,,,,,,"['1', '0', '3', '0']","['4', '2']",[],[],[],1.23
24.06.,Belkovics A.,0,,,,,,"['1', '3', '5', '5']",[],[],[],[],3.81
03.06.,Ujvary M.,2,,,,,,"['3', '1']","['2', '1']","['2', '1', '4', '3']",[],[],1.28
03.06.,Gloeckler M.,1,,,,,,"['4', '5']",[],"['2', '2']",[],[],3.48
14.05.,Hornung G.,2,,,,,,"['2', '2', '6', '4']",[],"['1', '0', '3', '0', '6', '5']",[],[],2.24
14.05.,Gloeckler M.,1,,,,,,"['2', '1']","['1', '0', '3', '0', '6', '1']","['3', '5', '5', '5']",[],[],1.59
02.04.,Ursu V.,2,,,,,,"['2', '0']","['3', '2']",[],[],[],1.14
02.04.,Gloeckler M.,0,,,,,,"['3', '4']",[],[],[],[],4.95
19.03.,Herman L.,2,,,,,,"['1', '0', '4', '1']","['3', '2']",[],[],[],2.26
19.03.,Gloeckler M.,0,,,,,,"['2', '4']","['5', '5']",[],[],[],1.58
12.02.,Dedura D.,2,,,,,,"['2', '2', '5', '3']","['1', '2', '3', '2']",[],[],[],1.14
12.02.,Gloeckler M.,0,,,,,,"['2', '1']","['2', '0']",[],[],[],4.80
28.11.2024,Ursu V.,2,,,,,,"['4', '4', '6', '6']","['2', '3', '4', '3']","['2', '1', '6', '3']",[],[],1.25
28.11.2024,Gloeckler M.,1,,,,,,"['1', '0', '6', '5']","['2', '0', '5', '5', '7', '5']",[],[],[],3.62
27.11.2024,Gloeckler M.,2,,,,,,[],"['4', '2']","['1', '0']",[],[],1.50
27.11.2024,Vasiliauskas M.,1,,,,,,"['6', '5']",[],[],[],[],2.44
05.11.2024,Oberleitner N.,2,,,,,,"['1', '0', '5', '4']","['3', '2', '6', '3']",[],[],[],1.08
05.11.2024,Gloeckler M.,0,,,,,,"['3', '3']",[],[],[],[],6.60
31.10.2024,Pieleanu R. T.,2,,,,,,"['1', '3']","['1', '2', '2', '3', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],2.20
31.10.2024,Gloeckler M.,1,,,,,,"['1', '0', '3', '0', '6', '3']","['2', '0', '3', '1']",[],[],[],1.61
29.10.2024,Gloeckler M.,2,,,,,,"['3', '2', '4', '3']","['3', '2']",[],[],[],3.40
29.10.2024,Peliwo F.,0,,,,,,"['3', '3']",[],[],[],[],1.28
09.10.2024,Kolar Z.,2,,,,,,"['2', '2', '5', '5']","['1', '0', '3', '0']",[],[],[],1.10
09.10.2024,Gloeckler M.,0,,,,,,"['2', '1', '4', '3']",[],[],[],[],6.01
28.08.2024,Prihodko O.,2,,,,,,"['2', '0', '5', '1']","['2', '1']",[],[],[],1.06
28.08.2024,Gloeckler M.,0,,,,,,[],[],[],[],[],7.80
22.08.2024,Sorger S.,2,,,,,,"['4', '2', '6', '2']","['3', '1']",[],[],[],1.11
22.08.2024,Gloeckler M.,0,,,,,,[],[],[],[],[],5.94
21.08.2024,Gloeckler M.,2,,,,,,[],"['2', '0']","['2', '1', '3', '2']",[],[],2.09
21.08.2024,Hrazdil J.,1,,,,,,"['2', '1']","['3', '4']","['2', '2', '3', '3']",[],[],1.69
15.08.2024,Nicod J.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '4', '1']",[],[],[],1.05
15.08.2024,Gloeckler M.,0,,,,,,[],"['2', '4']",[],[],[],8.25
14.08.2024,Gloeckler M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.04
14.08.2024,Benedict L.,0,,,,,,[],[],[],[],[],9.35
05.05.2023,Madarasz G.,2,,,,,,[],[],[],[],[],1.27
05.05.2023,Gloeckler M.,1,,,,,,[],[],[],[],[],3.46
04.05.2023,Gloeckler M.,2,,,,,,[],[],[],[],[],3.46
04.05.2023,Kekez D.,0,,,,,,[],[],[],[],[],1.27
03.05.2023,Gloeckler M.,2,,,,,,[],[],[],[],[],1.43
03.05.2023,Dell'Elba V.,0,,,,,,[],[],[],[],[],2.67
