Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,187/215,20/31,147/161,10/15,4/2,6/6
2024,15/13,0/2,8/7,7/4,-,-
2023,17/20,2/3,8/9,1/2,-,6/6
2022,20/17,4/2,16/15,-,-,-
2021,12/17,-,12/17,-,-,-
2020,4/3,3/2,1/1,-,-,-
2019,11/23,3/6,4/13,0/2,4/2,-
2018,25/20,1/2,24/17,0/1,-,-
2017,20/16,3/4,17/12,-,-,-
2016,10/22,2/5,8/16,0/1,-,-
2015,12/20,0/2,12/16,0/2,-,-
2014,27/22,2/3,23/16,2/3,-,-
2013,12/14,-,12/14,-,-,-
2012,2/5,-,2/5,-,-,-
2011,0/1,-,0/1,-,-,-
2010,0/1,-,0/1,-,-,-
2009,0/1,-,0/1,-,-,-
