Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/44,52/33,13/11,-,-,-
2024,3/4,3/4,-,-,-,-
2023,12/2,12/2,-,-,-,-
2022,10/8,9/7,1/1,-,-,-
2021,22/13,16/9,6/4,-,-,-
2020,9/8,6/6,3/2,-,-,-
2019,7/7,4/3,3/4,-,-,-
2018,2/2,2/2,-,-,-,-
