Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,57/32,-,57/32,-,-,-
2023,15/10,-,15/10,-,-,-
2022,11/9,-,11/9,-,-,-
2021,13/3,-,13/3,-,-,-
2020,18/10,-,18/10,-,-,-
