Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Villanueva G.,2,,,,,,"['3', '2', '6', '5']","['1', '0', '6', '3']",[],[],[],1.01
26.08.,Grandinetti T.,0,,,,,,"['4', '4']",[],[],[],[],11.00
11.08.,Pucinelli de Almeida M.,2,,,,,,2,2,64%,86% (25/29),56% (9/16),100% (2/2),31% (10/32),79% (15/19),80% (4/5),15,10,83% (5/6),76% (34/45),49% (25/51),61% (59/96),9,0,100% (8/8),50% (4/8),75% (12/16),"['3', '1', '6', '2']","['4', '2', '6', '2']",[],[],[],1.58
11.08.,Villanueva G.,0,,,,,,4,3,63%,69% (22/32),21% (4/19),20% (1/5),14% (4/29),44% (7/16),0% (0/2),14,30,56% (5/9),51% (26/51),24% (11/45),39% (37/96),1,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],19.5
05.08.,Moller E.,2,,,,,,6,4,56%,77% (27/35),61% (17/28),50% (1/2),23% (8/35),57% (13/23),60% (3/5),27,29,57% (4/7),70% (44/63),36% (21/58),54% (65/121),5,0,90% (9/10),30% (3/10),60% (12/20),"['5', '5']","['1', '0', '3', '0']",[],[],[],1.12
05.08.,Villanueva G.,0,,,,,,4,1,60%,77% (27/35),43% (10/23),40% (2/5),23% (8/35),39% (11/28),50% (1/2),14,22,75% (3/4),64% (37/58),30% (19/63),46% (56/121),5,1,70% (7/10),10% (1/10),40% (8/20),"['5', '4']",[],[],[],[],5.50
04.08.,Villanueva G.,2,,,,,,6,0,57%,81% (26/32),67% (16/24),67% (2/3),44% (16/36),45% (15/33),60% (3/5),27,18,75% (3/4),75% (42/56),45% (31/69),58% (73/125),9,0,90% (9/10),30% (3/10),60% (12/20),"['3', '1']","['3', '2', '5', '2']",[],[],[],1.70
04.08.,Fomin S.,0,,,,,,4,3,52%,56% (20/36),55% (18/33),40% (2/5),19% (6/32),33% (8/24),33% (1/3),17,29,33% (1/3),55% (38/69),25% (14/56),42% (52/125),1,0,70% (7/10),10% (1/10),40% (8/20),"['2', '3']",[],[],[],[],2.08
03.08.,Villanueva G.,2,,,,,,1,0,51%,76% (25/33),69% (22/32),100% (2/2),31% (12/39),57% (16/28),29% (2/7),11,13,100% (3/3),72% (47/65),42% (28/67),57% (75/132),6,0,100% (10/10),22% (2/9),63% (12/19),[],"['2', '0', '5', '1']",[],[],[],1.42
03.08.,Schoenhaus M.,0,,,,,,3,6,58%,69% (27/39),43% (12/28),71% (5/7),24% (8/33),31% (10/32),0% (0/2),24,47,100% (5/5),58% (39/67),28% (18/65),43% (57/132),4,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.73
29.07.,Den Ouden G.,2,,,,,,6,5,56%,68% (23/34),59% (16/27),50% (2/4),57% (17/30),50% (10/20),71% (5/7),30,28,62% (38/61),54% (27/50),59% (65/111),9,0,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '4', '2', '6', '2']","['3', '3', '5', '3']",[],[],[],1.17
29.07.,Villanueva G.,0,,,,,,1,0,60%,43% (13/30),50% (10/20),29% (2/7),35% (12/34),41% (11/27),50% (2/4),8,26,46% (23/50),38% (23/61),41% (46/111),1,0,38% (3/8),22% (2/9),29% (5/17),"['1', '2']","['1', '0']",[],[],[],4.61
28.07.,Villanueva G.,2,,,,,,2,0,62%,73% (36/49),47% (14/30),50% (2/4),29% (14/49),62% (18/29),50% (4/8),28,30,75% (12/16),63% (50/79),41% (32/78),52% (82/157),8,0,85% (11/13),31% (4/13),58% (15/26),"['1', '0', '6', '3']",[],"['2', '1', '5', '2']",[],[],1.55
28.07.,Juarez F.,1,,,,,,2,3,63%,71% (35/49),38% (11/29),50% (4/8),27% (13/49),53% (16/30),50% (2/4),28,36,86% (6/7),59% (46/78),37% (29/79),48% (75/157),2,0,69% (9/13),15% (2/13),42% (11/26),[],"['3', '2', '6', '3']",[],[],[],2.36
27.07.,Villanueva G.,2,,,,,,8,1,58%,66% (40/61),50% (22/44),76% (13/17),40% (27/68),74% (25/34),50% (7/14),31,35,83% (5/6),59% (62/105),51% (52/102),55% (114/207),6,0,71% (10/14),47% (7/15),59% (17/29),"['1', '0', '4', '5']","['1', '0', '4', '1']","['1', '2', '3', '2', '6', '3']",[],[],1.10
27.07.,Van Sambeek F.,1,,,,,,2,7,67%,60% (41/68),26% (9/34),50% (7/14),34% (21/61),50% (22/44),24% (4/17),40,63,74% (14/19),49% (50/102),41% (43/105),45% (93/207),4,4,53% (8/15),29% (4/14),41% (12/29),"['1', '1', '3', '1', '7', '5']",[],"['2', '0']",[],[],5.95
20.07.,Brunclik P.,2,,,,,,8,5,62%,80% (39/49),53% (16/30),100% (3/3),29% (20/68),50% (14/28),10% (1/10),100% (5/0),70% (55/79),35% (34/96),51% (89/175),6,0,100% (12/12),8% (1/12),54% (13/24),[],"['7', '5']",[],[],[],1.65
20.07.,Villanueva G.,0,,,,,,3,0,71%,71% (48/68),50% (14/28),90% (9/10),20% (10/49),47% (14/30),0% (0/3),0% (0/0),65% (62/96),30% (24/79),49% (86/175),4,4,92% (11/12),0% (0/12),46% (11/24),[],[],[],[],[],2.16
15.07.,Prihodko O.,2,,,,,,8,3,59%,79% (37/47),58% (19/33),75% (3/4),31% (19/61),46% (13/28),33% (2/6),43,54,61% (11/18),70% (56/80),36% (32/89),52% (88/169),7,0,93% (13/14),14% (2/14),54% (15/28),"['4', '2']",[],"['6', '4']",[],[],1.58
15.07.,Villanueva G.,1,,,,,,0,1,69%,69% (42/61),54% (15/28),67% (4/6),21% (10/47),42% (14/33),25% (1/4),15,20,50% (3/6),64% (57/89),30% (24/80),48% (81/169),3,0,86% (12/14),7% (1/14),46% (13/28),[],"['4', '2']",[],[],[],2.29
14.07.,Villanueva G.,2,,,,,,2,1,60%,78% (29/37),60% (15/25),0% (0/2),39% (23/59),60% (9/15),43% (3/7),21,28,77% (10/13),71% (44/62),43% (32/74),56% (76/136),8,0,82% (9/11),27% (3/11),55% (12/22),"['2', '0', '6', '4']","['2', '0']",[],[],[],2.18
14.07.,Olivieri G. A.,0,,,,,,2,1,80%,61% (36/59),40% (6/15),57% (4/7),22% (8/37),40% (10/25),100% (2/2),14,36,56% (5/9),57% (42/74),29% (18/62),44% (60/136),2,0,73% (8/11),18% (2/11),45% (10/22),"['3', '4']","['2', '3']",[],[],[],1.64
13.07.,Carboni L.,1,,,,,,1,6,68%,62% (39/63),33% (10/30),69% (11/16),35% (12/34),39% (9/23),100% (3/3),33,43,88% (15/17),53% (49/93),37% (21/57),47% (70/150),2,0,55% (6/11),30% (3/10),43% (9/21),"['3', '1']","['1', '0']","['1', '0']",[],[],1.73
13.07.,Villanueva G.,1,,,,,,0,1,60%,65% (22/34),61% (14/23),0% (0/3),38% (24/63),67% (20/30),31% (5/16),14,20,71% (5/7),63% (36/57),47% (44/93),53% (80/150),8,0,70% (7/10),45% (5/11),57% (12/21),[],"['2', '2', '4', '2', '6', '2']","['1', '1', '3', '1']",[],[],2.02
25.06.,Pucinelli de Almeida M.,2,,,,,,2,2,75%,62% (26/42),64% (9/14),33% (1/3),51% (18/35),62% (13/21),50% (5/10),63% (35/56),55% (31/56),59% (66/112),7,0,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '5', '1']","['1', '0', '4', '3', '5', '4']",[],[],[],1.34
25.06.,Villanueva G.,0,,,,,,0,1,63%,49% (17/35),38% (8/21),50% (5/10),38% (16/42),36% (5/14),67% (2/3),45% (25/56),38% (21/56),41% (46/112),3,1,38% (3/8),22% (2/9),29% (5/17),[],"['2', '2', '4', '4']",[],[],[],3.08
24.06.,Villanueva G.,2,,,,,,2,1,67%,63% (24/38),63% (12/19),88% (7/8),57% (16/28),86% (12/14),60% (6/10),63% (36/57),67% (28/42),65% (64/99),7,0,86% (6/7),86% (6/7),86% (12/14),"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.35
24.06.,Hernandez A.,0,,,,,,0,0,67%,43% (12/28),14% (2/14),40% (4/10),37% (14/38),37% (7/19),13% (1/8),33% (14/42),37% (21/57),35% (35/99),3,2,14% (1/7),14% (1/7),14% (2/14),"['1', '4']",[],[],[],[],3.04
20.06.,Roncadelli F.,2,,,,,,2,2,77%,63% (50/79),50% (12/24),75% (9/12),38% (24/64),61% (19/31),75% (6/8),60% (62/103),45% (43/95),53% (105/198),8,0,80% (12/15),40% (6/15),60% (18/30),"['2', '2', '3', '3']","['3', '2', '5', '2']","['3', '2', '5', '4']",[],[],2.14
20.06.,Villanueva G.,1,,,,,,2,2,67%,63% (40/64),39% (12/31),25% (2/8),37% (29/79),50% (12/24),25% (3/12),55% (52/95),40% (41/103),47% (93/198),2,0,60% (9/15),20% (3/15),40% (12/30),"['2', '1', '3', '2']",[],"['4', '4']",[],[],1.66
19.06.,Villanueva G.,2,,,,,,0,4,76%,70% (51/73),39% (9/23),57% (4/7),30% (16/54),56% (22/39),21% (3/14),63% (60/96),41% (39/95),52% (99/191),8,0,79% (11/14),23% (3/13),52% (14/27),[],"['4', '2']","['2', '3', '5', '4']",[],[],2.36
19.06.,Boscardin Dias P.,1,,,,,,4,4,58%,70% (38/54),44% (17/39),79% (11/14),30% (22/73),61% (14/23),43% (3/7),59% (56/95),38% (36/96),48% (92/191),2,0,77% (10/13),21% (3/14),48% (13/27),"['2', '1', '5', '2']",[],"['3', '1']",[],[],1.55
17.06.,Villanueva G.,2,,,,,,0,1,68%,66% (37/56),54% (14/26),50% (3/6),33% (19/57),44% (8/18),80% (4/5),62% (51/82),36% (27/75),50% (78/157),9,0,79% (11/14),27% (4/15),52% (15/29),[],"['3', '3', '6', '4']","['4', '4', '6', '4']",[],[],1.64
17.06.,Kestelboim M.,1,,,,,,0,4,76%,67% (38/57),56% (10/18),20% (1/5),34% (19/56),46% (12/26),50% (3/6),64% (48/75),38% (31/82),50% (79/157),1,1,73% (11/15),21% (3/14),48% (14/29),"['2', '0']","['1', '0']","['3', '2']",[],[],2.19
12.06.,Collarini A.,2,,,,,,3,4,70%,70% (31/44),42% (8/19),60% (3/5),48% (20/42),38% (9/24),40% (4/10),62% (39/63),44% (29/66),53% (68/129),5,0,80% (8/10),40% (4/10),60% (12/20),"['1', '0']","['1', '2', '3', '2', '5', '2']",[],[],[],1.29
12.06.,Villanueva G.,0,,,,,,0,1,64%,52% (22/42),63% (15/24),60% (6/10),30% (13/44),58% (11/19),40% (2/5),56% (37/66),38% (24/63),47% (61/129),5,2,60% (6/10),20% (2/10),40% (8/20),[],"['2', '0', '3', '5']",[],[],[],3.39
10.06.,Villanueva G.,2,,,,,,0,1,69%,64% (56/88),73% (29/40),82% (9/11),26% (18/69),52% (24/46),50% (4/8),66% (85/128),37% (42/115),52% (127/243),7,0,88% (14/16),24% (4/17),55% (18/33),"['3', '4']","['4', '4']","['3', '2', '6', '3']",[],[],1.67
10.06.,Gerch L.,1,,,,,,4,8,60%,74% (51/69),48% (22/46),50% (4/8),36% (32/88),28% (11/40),18% (2/11),63% (73/115),34% (43/128),48% (116/243),3,1,76% (13/17),13% (2/16),45% (15/33),"['3', '1']","['1', '0']",[],[],[],2.12
30.05.,Reis Da Silva J.,2,,,,,,"['2', '1']","['1', '0', '3', '0']",[],[],[],1.49
30.05.,Villanueva G.,0,,,,,,[],[],[],[],[],2.47
29.05.,Villanueva G.,2,,,,,,[],"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '0']",[],[],2.77
29.05.,Midon L.,1,,,,,,"['2', '1']","['1', '4', '2', '5', '4', '5']","['1', '3']",[],[],1.40
28.05.,Villanueva G.,2,,,,,,"['3', '1']","['2', '1', '4', '1']",[],[],[],1.33
28.05.,Zeitune M.,0,,,,,,[],[],[],[],[],3.09
27.05.,Villanueva G.,2,,,,,,[],"['2', '0', '6', '2']","['3', '1', '4', '2']",[],[],1.30
27.05.,Nunez D. A.,1,,,,,,"['3', '1']",[],"['2', '3']",[],[],3.47
24.05.,Boscardin Dias P.,2,,,,,,"['2', '0', '4', '2', '5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.87
24.05.,Villanueva G.,0,,,,,,"['1', '2', '3', '4']",[],[],[],[],1.87
23.05.,Villanueva G.,2,,,,,,"['1', '2', '5', '4']","['5', '4']","['1', '0', '4', '3']",[],[],2.77
23.05.,Midon L.,1,,,,,,"['2', '0']","['5', '5', '7', '5']","['3', '3']",[],[],1.40
22.05.,Villanueva G.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['2', '0', '4', '0', '5', '1', '6', '2']",[],[],[],1.80
22.05.,Roncadelli F.,0,,,,,,"['1', '2']","['1', '4', '2', '5']",[],[],[],1.90
21.05.,Villanueva G.,2,,,,,,"['2', '3', '4', '5']","['4', '2']",[],[],[],1.23
21.05.,Zeitune M.,0,,,,,,"['3', '1', '5', '3']","['3', '4']",[],[],[],3.81
20.05.,Villanueva G.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],-
20.05.,Silva Sovero C. M.,0,,,,,,[],[],[],[],[],-
09.05.,Roncadelli F.,2,,,,,,0,0,68%,69% (25/36),53% (9/17),50% (2/4),38% (13/34),69% (18/26),71% (5/7),64% (34/53),52% (31/60),58% (65/113),7,0,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '4', '1']","['1', '0', '3', '0', '5', '2']",[],[],[],2.01
09.05.,Villanueva G.,0,,,,,,1,5,57%,62% (21/34),31% (8/26),29% (2/7),31% (11/36),47% (8/17),50% (2/4),48% (29/60),36% (19/53),42% (48/113),3,0,44% (4/9),22% (2/9),33% (6/18),"['2', '4']","['1', '3']",[],[],[],1.73
07.05.,Villanueva G.,2,,,,,,0,2,66%,59% (32/54),54% (15/28),33% (2/6),40% (25/62),53% (20/38),38% (5/13),57% (47/82),45% (45/100),51% (92/182),7,0,69% (9/13),38% (5/13),54% (14/26),"['3', '1', '5', '1']","['1', '0']","['1', '1', '7', '5']",[],[],3.10
07.05.,Torres J. B.,1,,,,,,1,5,62%,60% (37/62),47% (18/38),62% (8/13),41% (22/54),46% (13/28),67% (4/6),55% (55/100),43% (35/82),49% (90/182),3,2,62% (8/13),31% (4/13),46% (12/26),[],"['1', '1', '3', '1', '5', '1']","['1', '0']",[],[],1.34
