Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.08.,Boitan G. A.,2,,,,,,"['4', '2']","['1', '0', '4', '5', '6', '5']",[],[],[],1.74
02.08.,Papoe R. M.,0,,,,,,[],"['2', '2', '5', '3']",[],[],[],2.02
01.08.,Cadenasso G.,0,,,,,,[],[],[],[],[],2.24
01.08.,Papoe R. M.,0,,,,,,"['2', '0', '5', '1']",[],[],[],[],1.59
31.07.,Papoe R. M.,1,,,,,,"['1', '1', '2', '4']","['2', '2', '4', '2']","['1', '0', '3', '0']",[],[],2.09
31.07.,Marti Pujolras A.,1,,,,,,"['1', '0', '2', '1', '4', '1', '5', '2']","['2', '1']",[],[],[],1.68
29.07.,Papoe R. M.,2,,,,,,"['2', '0']","['4', '3', '6', '5']",[],[],[],1.03
29.07.,Onofrei M. C.,0,,,,,,[],"['4', '4', '6', '6']",[],[],[],8.80
26.07.,Caniato C. A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '2', '6', '2']",[],[],[],1.90
26.07.,Papoe R. M.,0,,,,,,[],[],[],[],[],1.80
25.07.,Papoe R. M.,2,,,,,,"['3', '1', '6', '2']","['1', '1', '6', '4']",[],[],[],1.72
25.07.,Ovcharenko O.,0,,,,,,[],"['1', '0']",[],[],[],2.00
24.07.,Papoe R. M.,2,,,,,,"['4', '3']","['3', '2']",[],[],[],1.20
24.07.,Turcanu R. D.,0,,,,,,[],[],[],[],[],4.09
22.07.,Papoe R. M.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.54
22.07.,Ionel N. D.,0,,,,,,"['1', '0']",[],[],[],[],2.35
04.07.,Paris T.,2,,,,,,1,3,62%,68% (39/57),43% (15/35),17% (1/6),40% (27/68),56% (15/27),67% (6/9),59% (54/92),44% (42/95),51% (96/187),6,0,69% (11/16),38% (6/16),53% (17/32),"['1', '0', '4', '1']","['1', '2', '3', '2']","['2', '3', '5', '4']",[],[],2.66
04.07.,Papoe R. M.,1,,,,,,0,1,72%,60% (41/68),44% (12/27),33% (3/9),32% (18/57),57% (20/35),83% (5/6),56% (53/95),41% (38/92),49% (91/187),4,0,63% (10/16),31% (5/16),47% (15/32),[],"['2', '0', '4', '4', '7', '5']","['2', '0', '5', '5']",[],[],1.44
03.07.,Papoe R. M.,2,,,,,,0,1,75%,58% (32/55),56% (10/18),78% (7/9),47% (18/38),67% (12/18),56% (5/9),58% (42/73),54% (30/56),56% (72/129),8,0,78% (7/9),63% (5/8),71% (12/17),"['4', '2', '5', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],2.00
03.07.,Dellien Velasco M. A.,0,,,,,,2,4,68%,53% (20/38),33% (6/18),44% (4/9),42% (23/55),44% (8/18),22% (2/9),46% (26/56),42% (31/73),44% (57/129),2,0,38% (3/8),22% (2/9),29% (5/17),"['3', '4', '4', '5']",[],[],[],[],1.74
01.07.,Papoe R. M.,2,,,,,,0,1,72%,67% (29/43),65% (11/17),33% (1/3),44% (19/43),44% (8/18),50% (4/8),67% (40/60),44% (27/61),55% (67/121),6,0,82% (9/11),40% (4/10),62% (13/21),"['2', '4', '4', '4', '7', '5']","['3', '1']",[],[],[],2.77
01.07.,Feldbausch K.,0,,,,,,0,2,70%,56% (24/43),56% (10/18),50% (4/8),33% (14/43),35% (6/17),67% (2/3),56% (34/61),33% (20/60),45% (54/121),4,0,60% (6/10),18% (2/11),38% (8/21),"['2', '1', '4', '1']",[],[],[],[],1.41
30.06.,Papoe R. M.,2,,,,,,0,0,71%,66% (31/47),47% (9/19),60% (3/5),42% (13/31),57% (12/21),50% (4/8),61% (40/66),48% (25/52),55% (65/118),9,0,80% (8/10),44% (4/9),63% (12/19),"['5', '3', '6', '4']","['1', '1', '5', '3']",[],[],[],1.58
30.06.,Kellovsky D.,0,,,,,,3,4,60%,58% (18/31),43% (9/21),50% (4/8),34% (16/47),53% (10/19),40% (2/5),52% (27/52),39% (26/66),45% (53/118),1,0,56% (5/9),20% (2/10),37% (7/19),"['4', '5']","['1', '0']",[],[],[],2.29
29.06.,Papoe R. M.,2,,,,,,1,3,62%,78% (39/50),45% (14/31),50% (3/6),40% (26/65),43% (10/23),29% (4/14),65% (53/81),41% (36/88),53% (89/169),9,0,79% (11/14),31% (4/13),56% (15/27),"['4', '4', '7', '5']",[],"['3', '1', '5', '1']",[],[],2.36
29.06.,Agamenone F.,1,,,,,,1,0,74%,60% (39/65),57% (13/23),71% (10/14),22% (11/50),55% (17/31),50% (3/6),59% (52/88),35% (28/81),47% (80/169),1,0,69% (9/13),21% (3/14),44% (12/27),"['2', '1']","['2', '1', '5', '2']",[],[],[],1.55
24.06.,Forejtek J.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0', '4', '0']",[],[],[],1.87
24.06.,Papoe R. M.,0,,,,,,"['3', '5']",[],[],[],[],1.83
21.06.,Schiessl J. E.,2,,,,,,"['2', '0']","['2', '1', '5', '2']",[],[],[],2.66
21.06.,Papoe R. M.,0,,,,,,[],[],[],[],[],1.43
20.06.,Papoe R. M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '4', '1']",[],[],[],1.31
20.06.,La Vela G.,0,,,,,,[],"['1', '3']",[],[],[],3.20
19.06.,Papoe R. M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.02
19.06.,Zagars A.,0,,,,,,[],[],[],[],[],11.00
