Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.05.,Clark E.,2,,,,,,"['1', '0', '2', '1', '6', '3']","['2', '0', '4', '0']",[],[],[],1.09
14.05.,Aguilera Guerrero E.,0,,,,,,"['1', '1']",[],[],[],[],6.25
26.11.2024,Baranec D.,2,,,,,,"['6', '4']","['5', '3']",[],[],[],1.62
26.11.2024,Aguilera Guerrero E.,0,,,,,,[],[],[],[],[],2.18
18.03.2024,Ficovich J. P.,2,,,,,,4,0,59%,83% (20/24),82% (14/17),100% (1/1),43% (15/35),67% (12/18),80% (4/5),83% (34/41),51% (27/53),65% (61/94),8,0,100% (8/8),50% (4/8),75% (12/16),"['4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],1.01
18.03.2024,Aguilera Guerrero E.,0,,,,,,0,1,66%,57% (20/35),33% (6/18),20% (1/5),17% (4/24),18% (3/17),0% (0/1),49% (26/53),17% (7/41),35% (33/94),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],28.00
18.10.2023,Rodriguez J. A.,2,,,,,,[],[],[],[],[],1.08
18.10.2023,Aguilera Guerrero E.,0,,,,,,[],[],[],[],[],6.65
17.10.2023,Aguilera Guerrero E.,2,,,,,,[],[],[],[],[],1.25
17.10.2023,Marini F.,0,,,,,,[],[],[],[],[],3.64
05.03.2023,Zhu E.,2,,,,,,5,1,62%,69% (20/29),72% (13/18),67% (2/3),54% (15/28),63% (12/19),71% (5/7),70% (33/47),57% (27/47),64% (60/94),88% (7/8),71% (5/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.01
05.03.2023,Aguilera Guerrero E.,0,,,,,,0,2,60%,46% (13/28),37% (7/19),29% (2/7),31% (9/29),28% (5/18),33% (1/3),43% (20/47),30% (14/47),36% (34/94),29% (2/7),13% (1/8),20% (3/15),[],"['1', '1']",[],[],[],13.50
19.02.2023,Zhu E.,2,,,,,,4,1,74%,76% (26/34),67% (8/12),0% (0/0),50% (12/24),50% (11/22),57% (4/7),74% (34/46),50% (23/46),62% (57/92),100% (8/8),57% (4/7),80% (12/15),"['4', '2', '6', '2']","['2', '0', '4', '0']",[],[],[],1.09
19.02.2023,Aguilera Guerrero E.,0,,,,,,1,3,52%,50% (12/24),50% (11/22),43% (3/7),24% (8/34),33% (4/12),0% (0/0),50% (23/46),26% (12/46),38% (35/92),43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],6.60
06.03.2022,Nakagawa N.,2,,,,,,2,1,50%,90% (26/29),48% (14/29),67% (2/3),30% (11/37),42% (13/31),50% (3/6),69% (40/58),40% (27/68),53% (67/126),90% (9/10),30% (3/10),60% (12/20),"['3', '4', '5', '4']","['2', '1']",[],[],[],1.04
06.03.2022,Aguilera Guerrero E.,0,,,,,,2,3,54%,70% (26/37),48% (15/31),50% (3/6),10% (3/29),48% (14/29),33% (1/3),60% (41/68),31% (18/58),47% (59/126),70% (7/10),10% (1/10),40% (8/20),"['3', '1']",[],[],[],[],10.50
