Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/16,2/5,3/4,-,-,7/7
2024,2/3,2/2,0/1,-,-,-
2023,8/8,0/3,3/3,-,-,5/2
2022,2/5,-,-,-,-,2/5
