Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,256/204,90/75,81/58,85/71,-,-
2024,14/21,1/6,1/6,12/9,-,-
2023,56/28,-,36/15,20/13,-,-
2022,31/26,14/17,5/3,12/6,-,-
2021,45/29,34/19,6/5,5/5,-,-
2020,15/20,-,12/12,3/8,-,-
2019,33/23,18/9,8/8,7/6,-,-
2018,22/23,7/12,9/6,6/5,-,-
2017,11/12,6/5,2/2,3/5,-,-
2016,10/7,-,-,10/7,-,-
2015,15/10,8/5,2/1,5/4,-,-
2014,2/3,2/1,-,0/2,-,-
2013,2/1,-,-,2/1,-,-
2012,0/1,0/1,-,-,-,-
