Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.08.,Bertrand R.,2,,,,,,[],"['2', '2', '4', '2', '6', '2']","['3', '1', '4', '2', '6', '2']",[],[],1.32
05.08.,Gautier A.,1,,,,,,[],"['2', '1']","['2', '3']",[],[],3.14
26.06.,Singh K.,2,,,,,,[],"['2', '0', '5', '1']","['3', '2', '6', '3']",[],[],2.22
26.06.,Gautier A.,1,,,,,,"['3', '1']",[],[],[],[],1.60
25.06.,Gautier A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],[],1.11
25.06.,Delicata L.,0,,,,,,[],"['3', '3']",[],[],[],5.50
20.06.,Moroni F.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '0']",[],[],[],1.57
20.06.,Gautier A.,0,,,,,,"['2', '3']","['1', '3']",[],[],[],2.28
19.06.,Gautier A.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0']",[],[],[],1.05
19.06.,Aleshchev A.,0,,,,,,[],[],[],[],[],6.75
18.06.,Gautier A.,2,,,,,,"['2', '1', '4', '1']","['2', '5', '4', '5', '6', '5']",[],[],[],1.83
18.06.,Loutit J.,0,,,,,,"['3', '5']","['2', '0', '5', '1']",[],[],[],1.87
12.06.,Pow L.,2,,,,,,"['4', '4', '6', '6']","['3', '2']","['2', '0', '5', '1']",[],[],2.35
12.06.,Gautier A.,1,,,,,,"['4', '3', '6', '5']","['4', '4']",[],[],[],1.54
10.06.,Gautier A.,2,,,,,,"['3', '3', '5', '3']","['3', '2', '4', '3']",[],[],[],-
10.06.,Church C.,0,,,,,,"['1', '0']","['3', '3']",[],[],[],-
25.05.,Arutiunian E.,2,,,,,,12,1,67%,83% (49/59),55% (16/29),80% (4/5),23% (15/65),54% (28/52),20% (1/5),74% (65/88),37% (43/116),53% (108/204),6,0,93% (14/15),6% (1/16),48% (15/31),[],[],"['1', '0']",[],[],1.35
25.05.,Gautier A.,1,,,,,,9,4,56%,77% (50/65),46% (24/52),80% (4/5),17% (10/59),45% (13/29),20% (1/5),63% (73/116),26% (23/88),47% (96/204),4,1,94% (15/16),7% (1/15),52% (16/31),"['3', '1']",[],[],[],[],3.04
16.02.,Brunold M.,0,,,,,,0,0,60%,100% (3/3),50% (1/2),0% (0/0),0% (0/1),100% (6/6),50% (1/2),80% (4/5),86% (6/7),83% (10/12),8,0,100% (1/1),100% (1/1),100% (2/2),"['1', '0']",[],[],[],[],1.25
16.02.,Gautier A.,0,,,,,,0,4,14%,100% (1/1),0% (0/6),50% (1/2),0% (0/3),50% (1/2),0% (0/0),14% (1/7),20% (1/5),17% (2/12),2,0,0% (0/1),0% (0/1),0% (0/2),[],[],[],[],[],3.70
14.01.,Malige M.,2,,,,,,"['2', '0', '5', '1']","['3', '2']",[],[],[],1.99
14.01.,Gautier A.,0,,,,,,[],[],[],[],[],1.73
07.01.,Brunold M.,2,,,,,,3,2,60%,72% (26/36),63% (15/24),67% (4/6),41% (15/37),60% (15/25),44% (4/9),68% (41/60),48% (30/62),58% (71/122),8,0,80% (8/10),44% (4/9),63% (12/19),"['5', '3']","['1', '4', '3', '4', '5', '4']",[],[],[],1.54
07.01.,Gautier A.,0,,,,,,1,3,60%,59% (22/37),40% (10/25),56% (5/9),28% (10/36),38% (9/24),33% (2/6),52% (32/62),32% (19/60),42% (51/122),2,0,56% (5/9),20% (2/10),37% (7/19),[],"['2', '0', '4', '0']",[],[],[],2.25
06.01.,Gautier A.,2,,,,,,5,1,79%,84% (42/50),62% (8/13),0% (0/0),26% (12/46),35% (7/20),33% (1/3),79% (50/63),29% (19/66),53% (69/129),6,0,100% (11/11),9% (1/11),55% (12/22),[],"['3', '2']",[],[],[],2.31
06.01.,Gombos N.,0,,,,,,5,1,70%,74% (34/46),65% (13/20),67% (2/3),18% (9/50),38% (5/13),0% (0/0),71% (47/66),21% (13/63),47% (60/129),4,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],1.57
05.01.,Gautier A.,2,,,,,,6,2,70%,66% (49/74),48% (15/31),71% (5/7),29% (19/65),44% (11/25),38% (3/8),61% (64/105),33% (30/90),48% (94/195),6,0,86% (12/14),20% (3/15),52% (15/29),"['2', '3', '5', '4']",[],"['6', '4']",[],[],1.79
05.01.,Lumsden E.,1,,,,,,7,2,72%,71% (46/65),56% (14/25),63% (5/8),34% (25/74),52% (16/31),29% (2/7),67% (60/90),39% (41/105),52% (101/195),4,3,80% (12/15),14% (2/14),48% (14/29),"['3', '1']","['4', '2']",[],[],[],1.94
17.11.2024,Ivanovski K.,2,,,,,,15,3,65%,66% (44/67),67% (24/36),50% (3/6),34% (21/61),47% (16/34),67% (4/6),66% (68/103),39% (37/95),53% (105/198),6,0,81% (13/16),27% (4/15),55% (17/31),"['3', '1']","['3', '4']","['2', '3', '4', '3']",[],[],1.48
17.11.2024,Gautier A.,1,,,,,,8,4,64%,66% (40/61),53% (18/34),33% (2/6),34% (23/67),33% (12/36),50% (3/6),61% (58/95),34% (35/103),47% (93/198),4,0,73% (11/15),19% (3/16),45% (14/31),[],"['4', '2', '7', '5']","['2', '0']",[],[],2.53
12.11.2024,Barrere G.,2,,,,,,7,1,67%,70% (32/46),70% (16/23),0% (0/2),25% (13/51),60% (21/35),25% (3/12),70% (48/69),40% (34/86),53% (82/155),7,0,83% (10/12),25% (3/12),54% (13/24),"['3', '1']","['1', '0', '6', '5']",[],[],[],1.15
12.11.2024,Gautier A.,0,,,,,,5,6,59%,75% (38/51),40% (14/35),75% (9/12),30% (14/46),30% (7/23),100% (2/2),60% (52/86),30% (21/69),47% (73/155),3,0,75% (9/12),17% (2/12),46% (11/24),"['2', '3']","['5', '5']",[],[],[],5.02
11.11.2024,Gautier A.,0,,,,,,1,0,82%,78% (7/9),50% (1/2),0% (0/0),64% (7/11),75% (6/8),50% (1/2),73% (8/11),39% (7/18),52% (15/29),8,0,100% (2/2),33% (1/3),60% (3/5),"['3', '2']",[],[],[],[],2.99
11.11.2024,Alvarez Varona N.,0,,,,,,3,3,58%,82% (9/11),25% (2/8),50% (1/2),22% (2/9),50% (1/2),0% (0/0),61% (11/18),27% (3/11),48% (14/29),2,0,67% (2/3),0% (0/2),40% (2/5),[],[],[],[],[],1.36
10.11.2024,Gautier A.,2,,,,,,15,2,69%,73% (45/62),39% (11/28),90% (9/10),47% (28/60),42% (15/36),25% (3/12),62% (56/90),45% (43/96),53% (99/186),5,0,90% (9/10),30% (3/10),60% (12/20),"['4', '3']","['3', '2', '4', '3']",[],[],[],2.05
10.11.2024,Arnaboldi F.,0,,,,,,2,3,63%,53% (32/60),58% (21/36),75% (9/12),27% (17/62),61% (17/28),10% (1/10),55% (53/96),38% (34/90),47% (87/186),5,2,70% (7/10),10% (1/10),40% (8/20),[],"['3', '3']",[],[],[],1.70
05.11.2024,Pellegrino A.,2,,,,,,1,0,56%,67% (18/27),67% (14/21),50% (1/2),41% (15/37),67% (14/21),38% (5/13),67% (32/48),50% (29/58),58% (61/106),7,0,88% (7/8),63% (5/8),75% (12/16),"['3', '1']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.86
05.11.2024,Gautier A.,0,,,,,,4,1,64%,59% (22/37),33% (7/21),62% (8/13),33% (9/27),33% (7/21),50% (1/2),50% (29/58),33% (16/48),42% (45/106),3,1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '3']",[],[],[],1.86
04.11.2024,Gautier A.,2,,,,,,3,2,55%,69% (24/35),59% (17/29),50% (2/4),44% (18/41),63% (12/19),40% (4/10),64% (41/64),50% (30/60),57% (71/124),8,0,80% (8/10),44% (4/9),63% (12/19),"['3', '3', '5', '3', '6', '4']","['5', '3']",[],[],[],3.47
04.11.2024,Novak D.,0,,,,,,1,5,68%,56% (23/41),37% (7/19),60% (6/10),31% (11/35),41% (12/29),50% (2/4),50% (30/60),36% (23/64),43% (53/124),2,0,56% (5/9),20% (2/10),37% (7/19),"['3', '2', '4', '5']",[],[],[],[],1.28
03.11.2024,Gautier A.,2,,,,,,8,3,61%,71% (36/51),45% (15/33),57% (4/7),29% (12/42),61% (22/36),67% (4/6),61% (51/84),44% (34/78),52% (85/162),8,0,77% (10/13),31% (4/13),54% (14/26),[],"['3', '3', '5', '3']","['2', '1', '6', '3']",[],[],2.23
03.11.2024,Klizan M.,1,,,,,,3,5,54%,71% (30/42),39% (14/36),33% (2/6),29% (15/51),55% (18/33),43% (3/7),56% (44/78),39% (33/84),48% (77/162),2,0,69% (9/13),23% (3/13),46% (12/26),"['1', '0', '5', '2']","['1', '0']",[],[],[],1.61
22.10.2024,Harris B.,2,,,,,,3,3,75%,74% (29/39),62% (8/13),0% (0/0),33% (8/24),48% (10/21),60% (3/5),71% (37/52),40% (18/45),57% (55/97),5,0,100% (9/9),38% (3/8),71% (12/17),"['4', '2', '6', '2']","['3', '1']",[],[],[],1.30
22.10.2024,Gautier A.,0,,,,,,4,1,53%,67% (16/24),52% (11/21),40% (2/5),26% (10/39),38% (5/13),0% (0/0),60% (27/45),29% (15/52),43% (42/97),5,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.35
21.10.2024,Gautier A.,2,,,,,,8,2,71%,76% (50/66),48% (13/27),71% (5/7),37% (34/91),47% (17/36),13% (2/16),68% (63/93),40% (51/127),52% (114/220),8,0,88% (14/16),13% (2/15),52% (16/31),[],"['5', '3']","['2', '3']",[],[],4.37
21.10.2024,Shelbayh A.,1,,,,,,4,4,72%,63% (57/91),53% (19/36),88% (14/16),24% (16/66),52% (14/27),29% (2/7),60% (76/127),32% (30/93),48% (106/220),2,0,87% (13/15),13% (2/16),48% (15/31),"['1', '0']",[],"['2', '0']",[],[],1.19
20.10.2024,Gautier A.,2,,,,,,11,1,73%,78% (31/40),53% (8/15),0% (0/1),33% (10/30),43% (10/23),75% (3/4),71% (39/55),38% (20/53),55% (59/108),8,0,90% (9/10),30% (3/10),60% (12/20),"['2', '1']","['1', '0', '5', '4']",[],[],[],3.39
