Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/21,-,9/12,10/9,-,-
2024,6/5,-,6/5,-,-,-
2023,12/13,-,2/4,10/9,-,-
2022,1/3,-,1/3,-,-,-
