Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,3/6,-,2/3,1/3,-,-
2024,2/3,-,2/3,-,-,-
2023,0/2,-,-,0/2,-,-
2022,1/1,-,-,1/1,-,-
