Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  Montreal (Canada) - Qualification,hard,header
04.08. 23:35,Arseneault N.,0,3,2,,,,1,4,47%,56% (14/25),54% (15/28),57% (4/7),13% (4/32),35% (6/17),0% (0/3),4,11,25% (2/8),4,55% (29/53),20% (10/49),38% (39/102),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],23.00
04.08. 23:35,Nakashima B.,2,6,6,,,,6,2,65%,88% (28/32),65% (11/17),100% (3/3),44% (11/25),46% (13/28),43% (3/7),21,11,88% (15/17),6,80% (39/49),45% (24/53),62% (63/102),5,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['3', '2', '5', '2']",[],[],[],1.01
CHALLENGER MEN - SINGLES :  Granby (Canada) - Qualification,hard,header
15.07. 21:45,Arseneault N.,1,6,4,3,,,6,1,55%,61% (31/51),56% (23/41),73% (8/11),36% (20/56),43% (13/30),38% (3/8),5,59% (54/92),37% (32/86),48% (86/178),3,77% (10/13),21% (3/14),48% (13/27),"['1', '0', '4', '1']",[],"['3', '4']",[],[],5.27
15.07. 21:45,Harper C.,2,2,6,6,,,3,1,65%,66% (37/56),57% (17/30),63% (5/8),39% (20/51),44% (18/41),27% (3/11),9,63% (54/86),41% (38/92),52% (92/178),3,79% (11/14),23% (3/13),52% (14/27),[],"['6', '4']","['3', '1', '5', '3']",[],[],1.14
14.07. 19:40,Arseneault N.,2,6^4,7,7,,,6,10,55%,62% (43/69),47% (27/57),60% (9/15),40% (31/77),55% (21/38),53% (8/15),7,56% (70/126),45% (52/115),51% (122/241),4,67% (12/18),44% (8/18),56% (20/36),"['2', '1', '3', '2']","['2', '4', '5', '5', '7', '5']","['2', '4', '5', '5', '7', '5']",[],[],6.86
14.07. 19:40,Kumar O.,1,7^7,5,5,,,2,4,67%,60% (46/77),45% (17/38),47% (7/15),38% (26/69),53% (30/57),40% (6/15),6,55% (63/115),44% (56/126),49% (119/241),4,56% (10/18),33% (6/18),44% (16/36),"['2', '2', '5', '5']","['2', '1', '4', '1']","['1', '0', '3', '0']",[],[],1.09
ITF MEN - SINGLES :  M25 Saint-Augustin (Canada),hard,header
