Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,723/441,431/194,162/145,94/54,19/32,17/16
2024,28/28,16/11,8/11,2/1,2/5,-
2023,57/22,43/8,10/10,2/2,1/1,1/1
2022,46/34,29/15,9/10,7/5,1/2,0/2
2021,38/22,32/10,5/9,1/1,0/2,-
2020,24/18,4/4,13/8,6/3,-,1/3
2019,80/27,56/12,15/7,6/3,3/3,0/2
2018,45/33,14/9,14/11,15/8,2/4,0/1
2017,33/22,17/9,10/8,4/3,2/2,-
2016,60/23,31/16,10/2,19/4,-,0/1
2015,38/31,29/20,3/6,3/4,-,3/1
2014,28/28,21/16,4/6,1/3,1/2,1/1
2013,34/26,29/15,2/6,1/2,0/2,2/1
2012,27/26,17/9,7/13,0/2,3/2,-
2011,40/25,13/8,17/13,4/2,3/2,3/0
2010,36/27,22/12,5/6,5/6,1/2,3/1
2009,38/25,20/11,6/9,11/3,0/1,1/1
2008,39/13,19/5,13/5,5/1,0/1,2/1
2007,21/6,12/1,7/3,2/1,0/1,-
2006,8/4,4/2,4/2,-,-,-
2005,3/1,3/1,-,-,-,-
