Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/83,69/55,13/10,9/17,0/1,-
2024,22/18,21/17,-,1/1,-,-
2023,31/27,31/19,0/1,0/7,-,-
2022,26/28,12/13,8/6,6/8,0/1,-
2021,6/6,3/5,1/0,2/1,-,-
2020,6/4,2/1,4/3,-,-,-
