Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/57,29/33,22/21,-,-,2/3
2024,23/24,7/9,14/13,-,-,2/2
2023,14/19,7/13,7/6,-,-,-
2022,10/9,9/8,1/1,-,-,-
2021,4/1,4/1,-,-,-,-
2020,2/4,2/2,0/1,-,-,0/1
