Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,58/48,1/2,31/33,6/8,4/1,16/4
2024,9/13,1/2,8/11,-,-,-
2023,31/21,-,14/12,5/6,-,12/3
2022,16/10,-,7/7,1/1,4/1,4/1
2019,0/1,-,0/1,-,-,-
2018,2/2,-,2/2,-,-,-
2017,0/1,-,-,0/1,-,-
