Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/95,70/65,19/25,-,-,2/5
2024,25/24,25/22,-,-,-,0/2
2023,16/21,13/12,2/6,-,-,1/3
2022,27/27,18/17,8/10,-,-,1/0
2021,11/9,8/7,3/2,-,-,-
2019,6/10,0/3,6/7,-,-,-
2018,5/3,5/3,-,-,-,-
2014,1/1,1/1,-,-,-,-
