Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/17,-,24/10,3/1,-,14/6
2024,15/6,-,15/6,-,-,-
2023,15/4,-,3/2,3/1,-,9/1
2022,5/5,-,-,-,-,5/5
2021,6/2,-,6/2,-,-,-
