Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.05.,Brown P.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '4', '2']",[],[],[],1.38
14.05.,Chaiyarin C.,0,,,,,,[],"['2', '3']",[],[],[],2.85
06.05.,Flores J.,2,,,,,,"['3', '3', '5', '3']","['4', '3']",[],[],[],1.22
06.05.,Chaiyarin C.,0,,,,,,"['3', '2']",[],[],[],[],3.91
26.03.,Khazime D.,2,,,,,,"['2', '0', '4', '2', '5', '3']","['1', '2', '3', '2']",[],[],[],1.28
26.03.,Chaiyarin C.,0,,,,,,"['1', '2', '3', '4']","['2', '0']",[],[],[],3.40
19.03.,Chanta T.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.20
19.03.,Chaiyarin C.,0,,,,,,[],[],[],[],[],4.14
12.03.,Peliwo F.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],[],1.14
12.03.,Chaiyarin C.,0,,,,,,"['1', '5']",[],[],[],[],4.90
20.02.,Coulibaly E.,1,,,,,,4,2,63%,93% (14/15),44% (4/9),100% (2/2),38% (6/16),70% (7/10),50% (3/6),75% (18/24),50% (13/26),62% (31/50),9,0,100% (4/4),60% (3/5),78% (7/9),"['2', '1', '5', '2']","['1', '0']",[],[],[],1.05
20.02.,Chaiyarin C.,0,,,,,,0,0,62%,63% (10/16),30% (3/10),50% (3/6),7% (1/15),56% (5/9),0% (0/2),50% (13/26),25% (6/24),38% (19/50),1,0,40% (2/5),0% (0/4),22% (2/9),[],[],[],[],[],8.00
18.02.,Chaiyarin C.,2,,,,,,3,1,64%,71% (35/49),67% (18/27),100% (6/6),37% (13/35),47% (24/51),13% (2/15),70% (52/74),43% (37/86),56% (89/160),8,0,100% (10/10),20% (2/10),60% (12/20),[],"['2', '0', '6', '2']",[],[],[],4.75
18.02.,Szajrych J.,0,,,,,,6,7,41%,71% (25/35),53% (27/51),87% (13/15),29% (14/49),33% (9/27),0% (0/6),57% (49/86),30% (22/74),44% (71/160),2,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.16
12.01.,Dalla Valle E.,2,,,,,,7,1,53%,92% (24/26),70% (16/23),0% (0/0),34% (13/38),47% (7/15),60% (3/5),82% (40/49),38% (20/53),59% (60/102),8,0,100% (10/10),33% (3/9),68% (13/19),"['7', '5']","['3', '1', '5', '1']",[],[],[],1.04
12.01.,Chaiyarin C.,0,,,,,,1,1,72%,66% (25/38),53% (8/15),40% (2/5),8% (2/26),30% (7/23),0% (0/0),62% (33/53),18% (9/49),41% (42/102),2,0,67% (6/9),0% (0/10),32% (6/19),[],[],[],[],[],8.60
05.01.,Paire B.,2,,,,,,10,6,55%,84% (32/38),45% (14/31),50% (2/4),34% (19/56),68% (15/22),60% (3/5),67% (46/69),44% (34/78),54% (80/147),6,0,82% (9/11),30% (3/10),57% (12/21),"['3', '3', '5', '3']","['1', '2']",[],[],[],1.04
05.01.,Chaiyarin C.,0,,,,,,3,0,72%,66% (37/56),32% (7/22),40% (2/5),16% (6/38),55% (17/31),50% (2/4),56% (44/78),33% (23/69),46% (67/147),4,1,70% (7/10),18% (2/11),43% (9/21),"['1', '0']","['2', '0']",[],[],[],8.60
29.12.2024,Kolar Z.,2,,,,,,5,4,53%,74% (25/34),50% (15/30),0% (0/2),46% (18/39),44% (11/25),80% (4/5),63% (40/64),45% (29/64),54% (69/128),5,0,82% (9/11),40% (4/10),62% (13/21),"['5', '5', '7', '5']","['1', '1', '3', '1']",[],[],[],1.06
29.12.2024,Chaiyarin C.,0,,,,,,0,5,61%,54% (21/39),56% (14/25),20% (1/5),26% (9/34),50% (15/30),100% (2/2),55% (35/64),38% (24/64),46% (59/128),5,1,60% (6/10),18% (2/11),38% (8/21),"['3', '2']","['1', '0']",[],[],[],7.70
