Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/42,65/42,-,-,-,-
2024,3/2,3/2,-,-,-,-
2023,7/2,7/2,-,-,-,-
2022,4/4,4/4,-,-,-,-
2021,2/2,2/2,-,-,-,-
2020,16/6,16/6,-,-,-,-
2019,3/8,3/8,-,-,-,-
2018,30/15,30/15,-,-,-,-
2017,0/1,0/1,-,-,-,-
2016,0/1,0/1,-,-,-,-
2012,0/1,0/1,-,-,-,-
