Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/87,21/38,45/42,6/7,-,-
2024,8/10,-,4/8,4/2,-,-
2023,23/16,-,21/15,2/1,-,-
2022,8/8,3/4,5/4,-,-,-
2021,7/18,6/16,1/1,0/1,-,-
2020,2/2,-,2/2,-,-,-
2019,12/23,6/14,6/6,0/3,-,-
2018,12/9,6/4,6/5,-,-,-
2016,0/1,-,0/1,-,-,-
