Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,565/440,323/245,207/144,21/34,4/5,10/12
2024,22/25,17/16,3/7,-,1/1,1/1
2023,33/42,7/20,21/17,1/1,2/1,2/3
2022,35/38,20/20,8/11,5/4,1/1,1/2
2021,40/32,30/22,10/9,0/1,-,-
2020,6/11,2/3,1/1,3/4,-,0/3
2019,58/35,46/25,11/9,0/1,-,1/0
2018,37/34,27/25,8/5,2/4,-,-
2017,55/23,43/17,12/6,-,-,-
2016,43/25,20/8,20/13,0/1,0/2,3/1
2015,31/26,7/9,21/13,3/4,-,-
2014,47/31,14/14,33/15,0/2,-,-
2013,41/27,25/13,15/12,1/2,-,-
2012,19/27,13/13,2/5,2/7,-,2/2
2011,35/19,18/13,17/6,-,-,-
2010,43/21,27/16,16/5,-,-,-
2009,13/16,6/7,4/7,3/2,-,-
2008,7/8,1/4,5/3,1/1,-,-
