https://www.tennisexplorer.com/res/img/player/I3t6bFza-E9EWKzOI.jpeg
Erjavec Veronika
Country: Slovenia
Age: 24 (30. 12. 1999)
Current/Highest rank - singles: 194. / 168.
Current/Highest rank - doubles: 168. / 120.
Sex: woman
Plays: right
