Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/66,7/7,78/34,31/11,13/11,6/3
2024,20/12,2/2,9/7,-,7/3,2/0
2023,5/5,0/1,5/4,-,-,-
2022,17/20,5/4,10/12,0/1,1/2,1/1
2021,25/9,-,18/4,2/2,5/3,-
2020,21/6,-,-,18/4,-,3/2
2019,25/8,-,17/4,8/3,0/1,-
2018,22/6,-,19/3,3/1,0/2,-
