Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,596/444,119/112,371/243,61/45,45/44,-
2023,26/26,4/3,16/15,3/3,3/5,-
2022,38/26,5/6,30/14,1/1,2/5,-
2021,36/24,8/7,18/13,7/1,3/3,-
2020,17/11,1/2,13/7,3/2,-,-
2019,31/25,6/7,17/12,3/2,5/4,-
2018,38/21,10/6,20/13,6/1,2/1,-
2017,38/25,16/4,17/15,1/3,4/3,-
2016,27/28,8/8,10/14,2/3,7/3,-
2015,35/27,10/9,23/14,2/2,0/2,-
2014,49/26,13/9,29/11,5/3,2/3,-
2013,50/29,10/9,33/14,2/3,5/3,-
2012,29/29,5/8,14/11,6/7,4/3,-
2011,32/30,3/7,25/17,3/3,1/3,-
2010,29/29,5/7,16/15,5/4,3/3,-
2009,38/33,7/10,22/18,5/3,4/2,-
2008,34/25,6/7,26/17,2/1,-,-
2007,25/16,2/3,18/11,5/1,0/1,-
2006,13/7,-,13/7,-,-,-
2005,10/5,-,10/3,0/2,-,-
2004,1/2,-,1/2,-,-,-
