Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,239/216,235/202,2/12,-,-,2/2
2024,17/17,17/16,0/1,-,-,-
2023,42/37,42/37,-,-,-,-
2022,41/31,39/27,0/2,-,-,2/2
2021,19/26,19/26,-,-,-,-
2020,5/14,5/6,0/8,-,-,-
2019,19/20,19/20,-,-,-,-
2018,30/27,30/27,-,-,-,-
2017,42/25,40/24,2/1,-,-,-
2016,21/10,21/10,-,-,-,-
2015,3/3,3/3,-,-,-,-
2014,0/4,0/4,-,-,-,-
2013,0/2,0/2,-,-,-,-
