Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/81,40/39,16/19,-,-,6/23
2024,15/13,10/8,5/5,-,-,-
2023,20/25,14/13,4/7,-,-,2/5
2022,19/26,9/9,7/6,-,-,3/11
2021,8/15,7/7,0/1,-,-,1/7
2020,0/1,0/1,-,-,-,-
2019,0/1,0/1,-,-,-,-
