Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/44,13/16,41/20,8/8,-,-
2024,33/21,9/9,23/11,1/1,-,-
2023,23/16,4/5,18/9,1/2,-,-
2022,5/3,-,-,5/3,-,-
2021,1/4,0/2,-,1/2,-,-
