Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,317/249,38/37,260/194,8/9,10/7,1/2
2024,10/11,1/1,9/10,-,-,-
2023,9/10,2/3,7/7,-,-,-
2022,17/18,10/8,5/9,2/1,-,-
2019,9/6,-,9/6,-,-,-
2018,18/20,0/1,16/16,1/2,1/1,-
2017,40/24,-,40/23,0/1,-,-
2016,23/19,-,23/19,-,-,-
2015,30/15,-,30/15,-,-,-
2013,4/2,-,1/1,-,3/1,-
2012,3/7,-,3/7,-,-,-
2011,26/21,0/4,19/11,2/1,4/3,1/2
2010,28/24,10/9,18/15,-,-,-
2009,28/18,-,24/15,2/1,2/2,-
2008,29/19,10/6,19/12,0/1,-,-
2007,23/19,5/5,17/12,1/2,-,-
2006,20/15,-,20/15,-,-,-
2005,0/1,-,0/1,-,-,-
