Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,167/98,23/12,87/43,53/31,4/12,-
2024,31/15,-,29/9,0/2,2/4,-
2023,49/24,-,19/11,30/10,0/3,-
2022,31/31,0/1,16/11,13/14,2/5,-
2021,40/20,7/5,23/10,10/5,-,-
2019,5/4,5/2,0/2,-,-,-
2018,11/4,11/4,-,-,-,-
