Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.,Linde Palacios S. A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.62
18.06.,Lim A.,0,,,,,,[],"['1', '3']",[],[],[],2.18
05.06.,Dinev D.,2,,,,,,[],"['2', '0', '3', '1', '5', '1']","['4', '3', '5', '4']",[],[],-
05.06.,Lim A.,1,,,,,,"['3', '1']","['1', '2']","['4', '4']",[],[],-
22.11.2024,Lim A.,2,,,,,,"['3', '1', '6', '2']","['2', '0']",[],[],[],-
22.11.2024,Orazmuhammedov M.,0,,,,,,[],[],[],[],[],-
21.11.2024,Lim A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],-
21.11.2024,Cheong I. T.,0,,,,,,[],[],[],[],[],-
20.11.2024,Lim A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0']",[],[],[],-
20.11.2024,Purevdorj U.,0,,,,,,[],[],[],[],[],-
04.09.2024,Sim S.,2,,,,,,"['3', '2', '4', '3']","['2', '1', '4', '1']",[],[],[],-
04.09.2024,Lim A.,0,,,,,,"['3', '3']",[],[],[],[],-
28.08.2024,Weber A.,2,,,,,,"['1', '0', '3', '2']","['3', '2', '5', '2']",[],[],[],1.20
28.08.2024,Lim A.,0,,,,,,"['1', '1']",[],[],[],[],4.17
06.03.2020,Tsitsipas S.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.01
06.03.2020,Lim A.,0,,,,,,[],[],[],[],[],26.00
05.04.2019,Trongcharoenchaikul W.,2,,,,,,"['2', '1']","['1', '0']",[],[],[],1.11
05.04.2019,Lim A.,0,,,,,,[],"['3', '3']",[],[],[],6.70
04.02.2018,Lim A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '5', '4']",[],[],[],1.85
04.02.2018,Susanto D. A.,0,,,,,,"['2', '5']","['1', '1']",[],[],[],1.83
03.02.2018,Lim A.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '6', '2']",[],[],[],1.07
03.02.2018,Althaf Dhaifullah M.,0,,,,,,[],[],[],[],[],7.20
01.06.2017,Forti F.,2,,,,,,"['4', '2']","['1', '0', '4', '1']",[],[],[],-
01.06.2017,Lim A.,0,,,,,,[],[],[],[],[],-
09.04.2017,Navasirisomboon J.,2,,,,,,"['3', '2', '4', '3']","['2', '1', '4', '1']",[],[],[],-
09.04.2017,Lim A.,0,,,,,,"['3', '3']",[],[],[],[],-
07.04.2017,Trongcharoenchaikul W.,3,,,,,,"['1', '0']","['3', '3', '6', '4']","['3', '1']",[],[],1.34
07.04.2017,Lim A.,0,,,,,,"['4', '4']","['1', '0']",[],[],[],3.32
05.02.2017,Lim A.,2,,,,,,"['2', '1', '4', '1', '6', '5']","['1', '0', '4', '3', '6', '3']",[],[],[],-
05.02.2017,Susanto A.,0,,,,,,"['3', '5', '5', '5']","['3', '3']",[],[],[],-
03.02.2017,Lim A.,2,,,,,,"['1', '1', '4', '2']","['1', '0', '4', '1', '5', '2']",[],[],[],2.96
03.02.2017,Susanto D. A.,2,,,,,,"['1', '0']","['2', '4']","['3', '1', '6', '2']","['2', '0', '4', '0']",[],1.38
23.01.2017,Broville M.,2,,,,,,"['6', '4']",[],[],[],[],-
23.01.2017,Lim A.,0,,,,,,[],[],[],[],[],-
21.01.2017,Lim A.,2,,,,,,"['3', '3', '6', '4']","['3', '3', '5', '3', '6', '4']",[],[],[],-
21.01.2017,Yin B. S.,0,,,,,,"['2', '1']","['1', '0', '4', '5']",[],[],[],-
04.09.2016,Wessels L.,2,,,,,,"['4', '5']","['1', '0', '3', '2', '5', '4']","['4', '5', '6', '5']",[],[],-
04.09.2016,Lim A.,1,,,,,,"['5', '3', '6', '4']","['1', '1', '3', '3']","['3', '1']",[],[],-
02.06.2016,Moeller M.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],-
02.06.2016,Lim A.,0,,,,,,[],[],[],[],[],-
01.06.2016,Lim A.,2,,,,,,"['2', '2', '5', '3']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],-
01.06.2016,Blanch U.,0,,,,,,"['2', '1']","['1', '3']",[],[],[],-
29.05.2016,Lim A.,2,,,,,,"['2', '0', '4', '0', '5', '1']",[],"['2', '0', '6', '2']",[],[],-
29.05.2016,Bittoun C.,1,,,,,,"['1', '4']","['4', '2']",[],[],[],-
