Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/40,4/5,49/30,-,-,3/5
2024,16/10,-,16/10,-,-,-
2023,5/1,-,5/1,-,-,-
2020,0/1,-,-,-,-,0/1
2019,0/1,-,-,-,-,0/1
2018,8/5,3/2,3/3,-,-,2/0
2017,16/12,-,15/9,-,-,1/3
2016,10/6,-,10/6,-,-,-
2014,1/4,1/3,0/1,-,-,-
