Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,134/104,23/17,109/85,-,-,2/2
2024,3/4,-,3/4,-,-,-
2023,30/32,4/4,26/28,-,-,-
2022,55/32,7/4,46/26,-,-,2/2
2021,19/8,-,19/8,-,-,-
2019,4/4,3/2,1/2,-,-,-
2018,6/7,3/2,3/5,-,-,-
2017,9/10,2/1,7/9,-,-,-
2016,5/6,4/4,1/2,-,-,-
2015,3/1,-,3/1,-,-,-
