Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/31,10/26,4/5,-,-,-
2024,5/7,4/6,1/1,-,-,-
2023,3/11,3/11,-,-,-,-
2022,3/6,3/6,-,-,-,-
2021,3/7,0/3,3/4,-,-,-
