Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,142/85,93/53,34/20,10/7,0/2,5/3
2024,46/22,38/15,4/2,3/2,0/1,1/2
2023,43/23,26/11,8/6,5/4,0/1,4/1
2022,28/16,18/10,10/6,-,-,-
2021,18/14,4/7,12/6,2/1,-,-
2020,1/3,1/3,-,-,-,-
2019,6/6,6/6,-,-,-,-
2018,0/1,0/1,-,-,-,-
