Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,64/33,-,34/15,12/12,4/6,14/0
2024,11/4,-,11/3,0/1,-,-
2023,20/16,-,6/7,4/3,4/6,6/0
2022,30/6,-,15/2,7/4,-,8/0
2021,2/2,-,1/1,1/1,-,-
2020,0/2,-,-,0/2,-,-
2019,1/3,-,1/2,0/1,-,-
