Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Las Vegas (USA),hard,header
10.09. 05:45,Monday J.,0,6^5,3,,,,6,2,65%,72% (28/39),57% (12/21),33% (1/3),21% (10/48),58% (19/33),25% (1/4),11,67% (40/60),36% (29/81),49% (69/141),3,80% (8/10),9% (1/11),43% (9/21),"['4', '4']",[],[],[],[],2.69
10.09. 05:45,Kudla D.,2,7^7,6,,,,5,4,59%,79% (38/48),42% (14/33),75% (3/4),28% (11/39),43% (9/21),67% (2/3),5,64% (52/81),33% (20/60),51% (72/141),5,91% (10/11),20% (2/10),57% (12/21),"['1', '0']","['2', '0']",[],[],[],1.44
ITF MEN - SINGLES :  M25 Aldershot (United Kingdom),hard,header
16.08. 17:55,Monday J.,0,4,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1', '2', '2']",[],[],[],[],2.22
16.08. 17:55,Pinnington Jones J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '2', '1', '5', '4']","['1', '0', '4', '1']",[],[],[],1.61
15.08. 18:50,Monday J.,2,3,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['6', '4']","['5', '3']",[],[],1.19
15.08. 18:50,Wendelken H.,1,6,4,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2']",[],[],[],[],4.32
13.08. 17:45,Monday J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.02
13.08. 17:45,Gusic Wan B.,0,2,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],10.80
ITF MEN - SINGLES :  M25 Roehampton 2 (United Kingdom),hard,header
09.08. 18:30,Monday J.,0,1,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],2.22
09.08. 18:30,Fery A.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '4', '1', '6', '1']","['7', '5']",[],[],[],1.61
08.08. 14:40,Monday J.,2,7^7,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['3', '2', '6', '5']",[],[],[],1.49
08.08. 14:40,Banerjee S.,0,6^0,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['5', '5']",[],[],[],2.50
07.08. 18:50,Monday J.,2,3,7^7,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],"['4', '2']",[],[],1.87
07.08. 18:50,Searle H.,1,6,6^1,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '6', '3']",[],[],[],[],1.85
ITF MEN - SINGLES :  M25 Roehampton (United Kingdom),grass,header
02.08. 14:30,Monday J.,1,2,6,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '1', '5', '4']","['1', '0']",[],[],1.40
02.08. 14:30,Mott B.,2,6,4,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '6', '2']","['3', '3']","['1', '1', '3', '1']",[],[],2.79
01.08. 14:30,Monday J.,2,7^7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0', '4', '0', '6', '0']",[],[],[],1.47
01.08. 14:30,Banerjee S.,0,6^3,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],2.56
31.07. 17:20,Monday J.,2,5,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['3', '1', '5', '1']","['2', '1', '6', '3']",[],[],1.15
31.07. 17:20,Robertson C.,1,7,1,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['6', '5']",[],[],[],[],4.93
ITF MEN - SINGLES :  M25 East Lansing,hard,header
21.07. 20:45,Monday J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '5', '2']","['1', '0', '4', '1']",[],[],[],1.77
21.07. 20:45,McHugh A.,0,2,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],1.95
21.07. 00:40,Monday J.,2,6,4,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '6', '3']",[],"['1', '1', '4', '4', '6', '4']",[],[],1.64
21.07. 00:40,Kang K.,1,3,6,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '0']","['1', '0', '4', '3']",[],[],2.16
19.07. 22:40,Monday J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '5', '2']","['3', '4', '5', '4']",[],[],[],1.26
19.07. 22:40,Sheehy J.,0,2,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '2']",[],[],[],3.59
19.07. 00:40,Monday J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '3', '5', '4']","['4', '3', '5', '4']",[],[],[],1.32
19.07. 00:40,Maxted L.,0,4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0']","['4', '4']",[],[],[],3.18
17.07. 23:05,Monday J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['5', '3']","['2', '1']",[],[],[],1.73
17.07. 23:05,Zheng M.,0,3,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],2.00
ITF MEN - SINGLES :  M25 Dallas,hard,header
10.07. 23:30,Monday J.,1,3,6,2,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2']","['1', '0', '6', '3']","['2', '2']",[],[],2.10
10.07. 23:30,Sell K.,2,6,3,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '4', '3', '6', '3']",[],"['1', '0', '3', '2', '5', '2']",[],[],1.68
ITF MEN - SINGLES :  M25 Columbus,hard,header
16.11.2023,Monday J.,1,6,4,6^3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0']","['1', '0']",[],[],[],2.29
16.11.2023,Fearnley J.,2,2,6,7^7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '2', '6', '4']",[],[],[],1.57
CHALLENGER MEN - SINGLES :  Knoxville (USA),hard,header
07.11.2023,Monday J.,1,6,5,3,,,5,2,64%,73% (41/56),58% (18/31),60% (3/5),17% (10/59),49% (17/35),25% (1/4),5,68% (59/87),29% (27/94),48% (86/181),3,87% (13/15),6% (1/16),45% (14/31),"['4', '3']",[],[],[],[],2.12
07.11.2023,Debru G.,2,4,7,6,,,10,2,63%,83% (49/59),51% (18/35),75% (3/4),27% (15/56),42% (13/31),40% (2/5),6,71% (67/94),32% (28/87),52% (95/181),5,94% (15/16),13% (2/15),55% (17/31),[],"['7', '5']","['2', '0']",[],[],1.68
ITF MEN - SINGLES :  M15 Las Vegas,hard,header
20.10.2023,Monday J.,0,6^2,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['3', '1']",[],[],[],1.50
20.10.2023,Martinez A.,2,7^7,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '3', '6', '5']",[],[],[],2.45
19.10.2023,Monday J.,2,6,7^8,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '1']",[],[],[],[],1.26
19.10.2023,Hilderbrand T.,0,2,6^6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],3.56
CHALLENGER MEN - SINGLES :  Tiburon (USA),hard,header
04.10.2023,Monday J.,1,3,7^7,6^2,,,7,5,60%,69% (41/59),56% (22/39),33% (2/6),26% (16/62),43% (20/46),50% (3/6),6,64% (63/98),33% (36/108),48% (99/206),3,75% (12/16),18% (3/17),45% (15/33),"['1', '0']","['2', '0']","['3', '4']",[],[],2.87
04.10.2023,Ritschard A.,2,6,6^5,7^7,,,10,6,57%,74% (46/62),57% (26/46),50% (3/6),31% (18/59),44% (17/39),67% (4/6),5,67% (72/108),36% (35/98),52% (107/206),3,82% (14/17),25% (4/16),55% (18/33),"['2', '2', '5', '3']","['3', '4']","['2', '0']",[],[],1.39
03.10.2023,Monday J.,2,7^7,6,,,,4,1,68%,73% (32/44),67% (14/21),100% (3/3),21% (9/42),70% (16/23),100% (2/2),6,71% (46/65),38% (25/65),55% (71/130),5,100% (10/10),20% (2/10),60% (12/20),[],"['2', '0', '6', '2']",[],[],[],3.82
03.10.2023,Lokoli L.,0,6^3,2,,,,8,3,65%,79% (33/42),30% (7/23),0% (0/2),27% (12/44),33% (7/21),0% (0/3),6,62% (40/65),29% (19/65),45% (59/130),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.24
CHALLENGER MEN - SINGLES :  Istanbul (Turkey),hard,header
06.09.2023,Monday J.,0,5,1,,,,1,2,67%,61% (22/36),33% (6/18),60% (6/10),21% (8/39),43% (6/14),100% (1/1),4,52% (28/54),26% (14/53),39% (42/107),3,56% (5/9),10% (1/10),32% (6/19),"['2', '1']",[],[],[],[],4.55
06.09.2023,De Jong J.,2,7,6,,,,3,0,74%,79% (31/39),57% (8/14),0% (0/1),39% (14/36),67% (12/18),40% (4/10),8,74% (39/53),48% (26/54),61% (65/107),9,90% (9/10),44% (4/9),68% (13/19),"['5', '5', '7', '5']","['2', '0', '4', '0']",[],[],[],1.18
04.09.2023,Monday J.,2,4,6,6,,,4,3,65%,75% (40/53),64% (18/28),67% (2/3),23% (11/48),52% (17/33),50% (3/6),5,72% (58/81),35% (28/81),53% (86/162),5,93% (13/14),23% (3/13),59% (16/27),[],"['3', '1', '5', '1']","['5', '4']",[],[],2.87
04.09.2023,Zuk K.,1,6,1,4,,,2,3,59%,77% (37/48),48% (16/33),50% (3/6),25% (13/53),36% (10/28),33% (1/3),5,65% (53/81),28% (23/81),47% (76/162),3,77% (10/13),7% (1/14),41% (11/27),"['2', '1']",[],[],[],[],1.39
CHALLENGER MEN - SINGLES :  Mallorca (Spain),hard,header
