Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,130/107,40/40,85/64,-,-,5/3
2024,27/18,4/3,22/15,-,-,1/0
2023,29/29,4/8,24/19,-,-,1/2
2022,41/28,12/12,28/15,-,-,1/1
2021,16/11,12/10,2/1,-,-,2/0
2020,9/12,3/4,6/8,-,-,-
2019,8/9,5/3,3/6,-,-,-
