Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
09.07.,Lacides O.,2,,,,,,"['1', '0']","['4', '4', '6', '4']",[],[],[],1.96
09.07.,Elsayed A.,0,,,,,,"['5', '5']","['1', '0']",[],[],[],1.75
05.07.,Potenza L.,2,,,,,,"['2', '0', '5', '1']","['4', '3', '6', '3']",[],[],[],1.33
05.07.,Elsayed A.,0,,,,,,[],[],[],[],[],3.09
04.07.,Elsayed A.,2,,,,,,[],"['1', '0', '3', '2', '4', '3', '6', '5']",[],[],[],3.14
04.07.,Rai A.,0,,,,,,[],"['2', '2', '3', '3', '5', '5', '6', '6']",[],[],[],1.32
03.07.,Elsayed A.,2,,,,,,"['2', '0']","['3', '4', '5', '4']",[],[],[],1.44
03.07.,Lomakin G.,0,,,,,,[],"['2', '0']",[],[],[],2.62
26.06.,Ostapenkov D.,2,,,,,,"['1', '1', '3', '3', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.36
26.06.,Elsayed A.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],2.94
25.06.,Elsayed A.,2,,,,,,"['4', '2', '6', '2']","['4', '2', '5', '3']",[],[],[],1.19
25.06.,Kakhniuk D.,0,,,,,,[],"['3', '4']",[],[],[],4.38
18.06.,Lavizzari M.,2,,,,,,"['1', '0', '4', '5']","['4', '3', '6', '3']","['2', '0', '3', '1', '6', '2']",[],[],2.66
18.06.,Elsayed A.,1,,,,,,"['2', '2', '4', '2', '6', '4']",[],"['1', '2']",[],[],1.43
11.06.,Elsayed A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '4', '4', '5', '6', '5']",[],[],[],1.18
11.06.,Holder C.,0,,,,,,[],"['1', '1', '3', '1', '5', '3']",[],[],[],4.47
05.06.,Jadoun N.,1,,,,,,"['3', '1', '5', '1']",[],[],[],[],2.37
05.06.,Elsayed A.,0,,,,,,[],[],[],[],[],1.53
04.06.,Elsayed A.,2,,,,,,"['1', '0', '2', '1', '5', '4']","['1', '2']","['2', '0', '5', '3']",[],[],1.12
04.06.,Photiadis P.,1,,,,,,"['1', '1', '4', '4']","['2', '0', '5', '3']","['1', '2']",[],[],5.40
29.05.,Erel Y.,2,,,,,,"['4', '3', '6', '3']",[],"['3', '2']",[],[],1.33
29.05.,Elsayed A.,1,,,,,,[],"['3', '2', '6', '3']",[],[],[],3.09
27.05.,Elsayed A.,2,,,,,,"['2', '0', '5', '3']","['2', '1', '6', '5']",[],[],[],1.11
27.05.,Valentine C.,0,,,,,,"['1', '2']","['3', '3']",[],[],[],6.00
23.05.,Hurrion M.,2,,,,,,"['2', '2', '4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.69
23.05.,Elsayed A.,0,,,,,,"['2', '1']",[],[],[],[],2.07
22.05.,Elsayed A.,2,,,,,,"['5', '4']","['1', '0', '5', '2']",[],[],[],3.09
22.05.,Knaff A.,0,,,,,,[],[],[],[],[],1.33
20.05.,Elsayed A.,2,,,,,,"['2', '1', '4', '1']","['5', '4', '6', '5']",[],[],[],1.06
20.05.,Domingos D.,0,,,,,,[],"['5', '5']",[],[],[],7.30
15.05.,Hernandez C.,2,,,,,,"['4', '2']","['2', '1', '4', '3', '6', '3']",[],[],[],2.03
15.05.,Elsayed A.,0,,,,,,[],"['2', '2']",[],[],[],1.70
